加,加虐
佳,佳妓
佳,佳壻
佳,佳婿
佳,佳宵
佳,佳饌
佳,佳肴
佳,佳姬
家,彫刻家
假,假扮
假,仮名
暇,汨沒無暇
歌,謳歌
價,多價函數
角,角礫
角,角膜
角,角閃石
角,角抵塚
角,俯角
角,函數
角,鼠忌羊頭角
脚,脚絆
脚,橈脚類
閣,奎章閣
閣,鐘閣
覺,覺醒
覺,幻覺
覺,嗅覺
干,干潟地
肝,肝癌
看,看穗
看,看做
看,歇看
間,間諜
間,間歇
間,股間
間,馬廏間
間,鼎廚間
簡,簡牘
簡,簡札
甘,甘棠
甘,甘藷
甘,甘苔
減,減俸
減,減產
減,蕩減
甲,甲狀腺
甲,甲冑
剛,剛勁
剛,剛弩
剛,剛幡
剛,剛鸚鵡
剛,金剛杵
強,強酸
強,強靭
強,頑強
講,講籤
介,紹介
改,改嫁
改,改撰
改,改竄
改,改札口
改,拔萃
皆,皆旣蝕
皆,皆旣月蝕
皆,皆旣日蝕
開,開墾
開,開闢
慨,慨嘆
蓋,蓋碗
蓋,齒莖口蓋音
蓋,膝蓋骨
槪,槪括
去,撤去
巨,巨軀
巨,巨匠
拒,拒斧
居,寓居
居,蟄居
據,憑據
擧,擧帆
建,建艦
健,健勁
健,健啖
健,健牟羅
健,健爽
健,健羨
健,健腕
健,健捷
健,勁健
健,猛健副尉
健,穩健
健,伉健
乾,乾柿
乾,乾葡萄
乾,乾烹鷄
乞,乞丐
乞,乞粒
乞,豐乞
劍,劍塚
劍,按劍
儉,儉吝
檢,剖檢
隔,隔膜
隔,隔絕
隔,隔阻
激,激忿
激,激昂
激,激盪
擊,擊毬
擊,擊墜
擊,邀擊
擊,狙擊
犬,愛玩犬
見,見黜
堅,堅强
堅,堅牢
遣,遣悶
遣,遣隋使
遣,遣奠
決,決雌雄
缺,缺乏
缺,欠缺
結,結縛
結,結繩
結,紅斑
結,結晶
結,締結
潔,潔癖
潔,潔齋
潔,潔淸齋
潔,潔馨
潔,耿潔
潔,皎潔
潔,外潔內粗
潔,禋潔
潔,齋潔
潔,澡潔
潔,峻潔
潔,馨潔
兼,兼銜
謙,謙遜
更,更迭
京,京洛
徑,捷徑
耕,耕耘機
敬,敬虔
敬,石敬塘
敬,欽敬
傾,傾仄
輕,輕勘
輕,輕蔑
輕,輕粒子
境,疆境
境,窘境
境,魔境
境,夢幻境
境,藩境
境,梵境
境,僻境
境,鄰境
境,塵境
境,闔境
境,恍惚境
慶,慶応
鏡,呵鏡
鏡,鏡匣
鏡,鏡誡
鏡,鏡塘
鏡,鏡潭
鏡,鏡帒
鏡,鏡胴
鏡,鏡幡甲
鏡,鏡匠
鏡,矩鏡
鏡,稜鏡
鏡,多紐細線文鏡
鏡,膀胱鏡
鏡,瑞光鏡
鏡,鑷鏡
鏡,宋鏡
鏡,宋元鏡
鏡,匳鏡
鏡,倭鏡
鏡,凹鏡
鏡,尿道鏡
鏡,瑤池鏡
鏡,藻鏡
鏡,膣鏡
鏡,鞦韆鏡
鏡,沖鏡
鏡,喉頭鏡
競,競艇
驚,驚愕
系,中樞神經系
戒,戒盈杯
季,季嫂
界,疆界
界,魔界
界,法曹界
計,心搏計
計,粘度計
桂,桂坊
啓,啓殯
啓,啓迪
啓,啓蟄
啓,驚蟄
階,階梯
溪,曹溪宗
鷄,鷄巴
鷄,鷄絲麪
鷄,乾烹鷄
鷄,辣子鶏
鷄,蔘鷄湯
鷄,油淋鷄
鷄,鶬鷄
古,古迹
告,誣告
告,訃告
固,鞏固
固,頑固
姑,姑舅
姑,姑媳
姑,姑婆
姑,舅姑
姑,金僕姑
姑,箕姑
姑,達姑狄
姑,談婆姑
姑,勃姑
姑,師姑秔
姑,鼠姑
姑,尼姑
苦,苦悶
苦,苦楚
苦,苦衷
枯,枯槁
枯,枯白礬
枯,枯凋
枯,枯焦日
枯,枯卉
高,高粱
高,高齡
高,高邁
庫,庫紗
庫,庫曹
庫,義盈庫
庫,饌庫
鼓,鼓膜
曲,譚詩曲
曲,遁走曲
曲,聖譚曲
曲,函數
曲,婉曲
曲,歪曲
曲,幻想
曲,戱曲
谷,峽谷
骨,骨骼
骨,骨董飯
骨,骨董品
骨,骨髓
骨,膝蓋骨
骨,骸骨
工,砂工
工,竣工
孔,孔雀
孔,瞳孔
孔,穿孔
功,功勳
共,共匪
攻,攻駁
攻,挾攻
空,空隙
恐,恐喝
恐,恐怖
恐,恐慌
恐,惶恐
恭,恭遜
果,果汁
科,泌尿醫學科
科,倂科
過,過剩
過,擦過傷
誇,矜誇
官,官衙
官,官邸
官,宦官
冠,戴冠式
冠,冕旒冠
管,管轄
館,白堊館
關,關鍵
關,關彌城
光,光纖維
光,閃光
狂,狂癲
狂,癲狂
狂,猖狂
廣,廣闊
鑛,鑛坑
鑛,鎔鑛爐
鑛,磁鐵鑛
掛,我掛住你
怪,妖怪
塊,痰塊
塊,粘塊
塊,泡塊
壞,朽壞
交,交叉
校,校勘
校,黜校
敎,敎唆
敎,敎旨
敎,敎鞭
敎,大倧敎
橋,溝橋
橋,烏鵲橋
橋,棧橋
橋,搭乘橋
矯,矯枉
九,九尾狐
九,四十九齋
九,洪範九疇
丘,比丘尼
丘,圜丘壇
求,誅求
狗,狗膽
狗,狗醬
拘,拘拿
拘,拘攣
拘,拘礙
苟,艱苟
苟,苟艱
苟,苟菴
苟,苟偸
球,籠球
球,撞球
球,美式蹴球
球,蹴球
球,魔球
球,好酸球
救,救贖
救,救蝕
救,救恤
構,宏構
構,構誣
構,搆草
構,讒構
舊,舊型
懼,懼懣
懼,懼庵
懼,懼喘
懼,兢懼
懼,悼懼
懼,悚懼
懼,猜懼
懼,聳懼
懼,嗟懼
懼,惕懼
懼,洶懼
國,强大國
國,國璽
國,國粹主義
菊,至菊悤
軍,傀儡軍
軍,軍艦
軍,軍銜
軍,軍靴
軍,戍軍
軍,陞戶軍
軍,撤軍
群,冪零群
宮,宮闕
宮,宮内省
宮,宮繡
宮,宮庄
宮,宮牆
宮,宮趾
宮,宮綃
宮,宮閤
宮,奴僕宮
宮,泮宮
宮,梵宮
宮,閟宮
宮,嬪宮
宮,殯宮
宮,水晶宮
宮,稤宮
宮,巨蠏宮
宮,獅子宮
宮,天秤宮
宮,天蠍宮
宮,磨羯宮
宮,磨蝎宮
宮,寶甁宮
宮,鴦宮
宮,如縛宮獐
宮,蕊宮
宮,王太后宮
宮,王后宮
宮,琉璃宮
宮,毓祥宮
宮,离宮
宮,畸形
宮,梓宮
宮,齋宮
宮,榟宮
宮,財帛宮
宮,儲宮
宮,邸宮
宮,瀦宮汚宅
宮,漢宮棋子
宮,闔宮
宮,皇后宮
窮,窮寇
窮,窮僻
窮,窮乏
卷,軍艦巻
卷,卷帙
卷,海苔巻
卷,渦巻
拳,跆拳道
勸,勸奬
權,覇權
軌,狹軌
鬼,魔鬼
龜,龜旨歌
龜,龜甲縛
龜,龜州大捷
歸,歸壘
歸,歸巢
糾,糾繩
糾,糾纏
糾,糾飭
規,規矩
菌,乳酸菌
菌,炭疽菌
菌,杆菌
菌,菌傘
菌,栓症
極,宸極
根,葛根
根,根莖
僅,僅蹄類
謹,恪謹
謹,謹慤
謹,謹詢
今,今宵
今,尼師今
金,金箔
金,金融
金,鍍金
金,賻儀金
金,秘資金
金,冶金
金,奬學金
金,褒償金
琴,伽倻琴
琴,竪琴
琴,鐵弦琴
禁,禁錮
錦,角枕粲錦禽爛
及,遡及
及,埃及
急,遑急
給,俸給
肯,肯尼亞
肯,肯綮
汽,汽罐
汽,汽艇
汽,汽筒
技,技倆
忌,猜忌
忌,忌憚
奇,奇蹄類
奇,奇函數
祈,祈禱
祈,祈快癒
祈,禱祈
紀,三疊紀
紀,二疊紀
氣,疳氣
氣,氣魄
氣,雰圍氣
氣,蜃氣樓
氣,鑊氣
氣,磁氣
氣,覇氣
氣,狐氣
起,蹶起
起,起牀
起,勃起
起,惹起
起,喚起
飢,飢饉
飢,療飢
寄,寄齋
寄,寄託
期,瓜期
期,杖期
期,晩期
棄,抛棄
欺,欺瞞
旗,旗幟
旗,儀仗旗
機,統理機務衙門
機,紡織機
機,直升機
機,樞機卿
器,生殖
器,器仗
器,陶瓷器
器,按摩器
器,鍮器
器,瓷器
騎,騎撥
騎,騎曹
騎,騎槍
騎,騎哨
騎,騎芻
緊,喫緊
吉,吉卦
吉,吉瑞
吉,涓吉
那,刹那
難,艱難
難,難堪
難,難溶
難,遭難
難,詰難
男,男莖
男,男娼
南,南無阿彌陀佛
南,南煎丸子
南,南蠻
南,淮南子
納,嘉納
納,愆納
納,納侤
納,納款
納,納棺
納,納物嘉善
納,納物分軸
納,納嬪
納,納贖
納,納采
納,白拉地納
納,捧納
納,卸納
納,袖納
納,呈納
內,宮内省
內,内閣府
內,内務軍閥
耐,堪耐
耐,耐酸性
女,妓女
女,魔女
女,巫女
女,女牆
女,妖女
女,傭女
女,娼女
年,齡層
念,残念
