hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
槪,대개 개,木,나무 목,15,준3급,개,5
歷,지날 력,止,그칠 지,16,준5급,력,4
憲,법 헌,心,마음 심,16,4급,헌,2
孰,누구 숙,子,아들 자,11,3급,숙,3
藏,감출 장,艸,풀 초,18,준3급,장,3
宣,베풀 선,宀,집 면,9,4급,선,6
衰,쇠할 쇠,衣,옷 의,10,준3급,쇠,6
如,같을 여,女,계집 녀,6,준4급,여,3
宜,마땅 의,宀,집 면,8,3급,의,5
設,베풀 설,言,말씀 언,11,준4급,설,3
却,물리칠 각,卩,병부 절,7,3급,각,2
繼,이을 계,糸,실 사|가는실 멱,20,4급,계,3
竟,마침내 경,立,설 립,11,3급,경,2
濕,젖을 습,水,물 수,17,준3급,습,4
具,갖출 구,八,여덟 팔,8,준5급,구,2
佳,아름다울 가,人,사람 인,8,준3급,가,3
巧,공교할 교,工,장인 공,5,준3급,교,5
司,맡을 사,口,입 구,5,준3급,사,2
亨,형통할 형,亠,돼지해머리 두,7,3급,형,3
怪,괴이할 괴,心,마음 심,8,준3급,괴,6
裕,넉넉할 유,衣,옷 의,12,준3급,유,4
沿,물따라갈/따를 연,水,물 수,8,준3급,연,1
稅,세금 세,禾,벼 화,12,준4급,세,4
譯,번역할 역,言,말씀 언,20,준3급,역,4
隊,무리 대,阜,언덕 부,12,준4급,대,5
緊,긴할 긴,糸,실 사|가는실 멱,14,준3급,긴,6
慕,그릴 모,心,마음 심,15,준3급,모,3
笑,웃음 소,竹,대 죽,10,준4급,소,4
判,판단할 판,刀,칼 도,7,4급,판,2
隔,사이뜰 격,阜,언덕 부,13,준3급,격,4
阿,언덕 아,阜,언덕 부,8,준3급,아,2
倣,본뜰 방,人,사람 인,10,3급,방,4
是,이/옳을 시,日,날 일,9,준4급,시,4
焉,어찌 언,火,불 화,11,3급,언,2
換,바꿀 환,手,손 수,12,준3급,환,2
宴,잔치 연,宀,집 면,10,준3급,연,5
樣,모양 양,木,나무 목,15,4급,양,1
斯,이 사,斤,근/날 근,12,3급,사,7
俗,풍속 속,人,사람 인,9,준4급,속,2
厥,그 궐,厂,기슭 한,12,3급,궐,5
幅,폭 폭,巾,수건 건,12,3급,폭,1
災,재앙 재,火,불 화,7,5급,재,1
賃,품삯 임,貝,조개 패,13,준3급,임,2
該,갖출/마땅 해,言,말씀 언,13,3급,해,5
勵,힘쓸 려,力,힘 력,17,준3급,려,2
梁,들보/돌다리 량,木,나무 목,11,준3급,량,5
行,다닐 행|항렬 항,行,다닐 행|항렬 항,6,6급,행,3
亦,또 역,亠,돼지해머리 두,6,준3급,역,6
宿,잘 숙|별자리 수,宀,집 면,11,준5급,숙,6
惜,아낄 석,心,마음 심,11,준3급,석,2
映,비칠 영,日,날 일,9,4급,영,2
宰,재상 재,宀,집 면,10,3급,재,3
組,짤 조,糸,실 사|가는실 멱,11,4급,조,2
兆,억조 조,儿,어진사람 인,6,준3급,조,3
卿,벼슬 경,卩,병부 절,12,3급,경,5
悠,멀 유,心,마음 심,11,준3급,유,4
都,도읍 도,邑,고을 읍,12,5급,도,2
於,어조사 어|탄식할 오,方,모 방,8,3급,어,5
昇,오를 승,日,날 일,8,준3급,승,4
掃,쓸 소,手,손 수,11,준4급,소,1
笛,피리 적,竹,대 죽,11,준3급,적,2
履,밟을 리,尸,주검 시,15,준3급,리,5
布,베/펼 포|보시 보,巾,수건 건,5,준4급,포,3
塞,막힐 색|변방 새,土,흙 토,13,준3급,색,8
媒,중매 매,女,계집 녀,12,준3급,매,3
敍,펼 서,攴,칠 복,11,3급,서,5
異,다를 이,田,밭 전,11,4급,이,3
僧,중 승,人,사람 인,14,준3급,승,2
予,나 여,亅,갈고리 궐,4,3급,여,5
疏,소통할 소,疋,짝 필,12,준3급,소,4
敦,도타울 돈,攴,칠 복,12,3급,돈,4
見,볼 견|뵈올 현,見,볼 견|뵈올 현,7,준5급,견,5
殃,재앙 앙,歹,뼈앙상할 알|나쁠 대,9,3급,앙,1
蔬,나물 소,艸,풀 초,16,3급,소,3
郵,우편 우,邑,고을 읍,11,4급,우,5
涉,건널 섭,水,물 수,10,3급,섭,3
盛,성할 성,皿,그릇 명,12,준4급,성,2
奚,어찌 해,大,큰 대,10,3급,해,5
戀,그리워할/그릴 련,心,마음 심,23,준3급,련,2
逝,갈 서,辵,쉬엄쉬엄갈 착,11,3급,서,3
若,같을 약|반야 야,艸,풀 초,9,준3급,약,5
