hanja,kor,radical,total_num_of_strokes,level
校,학교 교,木,10획,8급
敎,가르칠 교,攴,11획,8급
九,아홉 구,乙,2획,8급
國,나라 국,囗,11획,8급
軍,군사 군,車,9획,8급
金,"쇠 금, 성 김",金,8획,8급
南,남녘 남,十,9획,8급
女,계집 녀,女,3획,8급
年,해 년,干,6획,8급
大,큰 대,大,3획,8급
東,동녘 동,木,8획,8급
六,여섯 륙,八,4획,8급
萬,일만 만,艸,13획,8급
母,어미 모,毋,5획,8급
木,나무 목,木,4획,8급
門,문 문,門,8획,8급
民,백성 민,氏,5획,8급
白,흰 백,白,5획,8급
父,아비 부,父,4획,8급
北,"북녘 북, 달아날 배",匕,5획,8급
四,넉 사,囗,5획,8급
山,메 산,山,3획,8급
三,석 삼,一,3획,8급
生,날 생,生,5획,8급
西,서녘 서,襾,6획,8급
先,먼저 선,儿,6획,8급
小,작을 소,小,3획,8급
水,물 수,水,4획,8급
室,집 실,宀,9획,8급
十,열 십,十,2획,8급
五,다섯 오,二,4획,8급
王,임금 왕,玉,4획,8급
外,바깥 외,夕,5획,8급
月,달 월,月,4획,8급
二,두 이,二,2획,8급
人,사람 인,人,2획,8급
一,한 일,一,1획,8급
日,날 일,日,4획,8급
長,긴 장,長,8획,8급
弟,아우 제,弓,7획,8급
中,가운데 중,丨,4획,8급
靑,푸를 청,靑,8획,8급
寸,마디 촌,寸,3획,8급
七,일곱 칠,一,2획,8급
土,흙 토,土,3획,8급
八,여덟 팔,八,2획,8급
學,배울 학,子,16획,8급
韓,나라이름 한,韋,17획,8급
兄,형 형,儿,5획,8급
火,불 화,火,4획,8급
家,집 가,宀,10획,준7급
間,사이 간,門,12획,준7급
江,강 강,水,6획,준7급
車,수레 거/차,車,7획,준7급
工,장인 공,工,3획,준7급
空,빌 공,穴,8획,준7급
氣,기운 기,气,10획,준7급
記,기록할 기,言,10획,준7급
男,사내 남,田,7획,준7급
內,안 내,入,4획,준7급
農,농사 농,辰,13획,준7급
答,대답 답,竹,12획,준7급
道,길 도,辵,13획,준7급
動,움직일 동,力,11획,준7급
力,힘 력,力,2획,준7급
立,설 립,立,5획,준7급
每,매양 매,毋,7획,준7급
名,이름 명,口,6획,준7급
物,물건 물,牛,8획,준7급
方,모 방,方,4획,준7급
不,"아닐 불, 아닐 부",一,4획,준7급
事,일 사,亅,8획,준7급
上,윗 상,一,3획,준7급
姓,성 성,女,8획,준7급
世,인간 세,一,5획,준7급
