hanja,kor,radical,total_num_of_strokes,level
柯,가지 가,木,9획,2급
賈,"성 가, 장사 고",貝,13획,2급
軻,수레/사람이름 가,車,12획,2급
迦,부처이름 가,辵,9획,2급
伽,절 가,人,7획,2급
珏,쌍옥 각,玉,9획,2급
杆,몽둥이 간,木,7획,2급
艮,괘이름 간,艮,6획,2급
葛,칡 갈,艸,13획,2급
鞨,오랑캐이름 갈,革,18획,2급
憾,섭섭할 감,心,16획,2급
鉀,갑옷 갑,金,13획,2급
岬,곶 갑,山,8획,2급
姜,성 강,女,9획,2급
崗,언덕 강,山,11획,2급
疆,지경 강,田,19획,2급
岡,산등성이 강,山,8획,2급
彊,굳셀 강,弓,16획,2급
价,클 개,人,6획,2급
塏,높은땅 개,土,13획,2급
坑,구덩이 갱,土,7획,2급
鍵,자물쇠/열쇠 건,金,17획,2급
桀,하왕이름 걸,木,10획,2급
杰,뛰어날 걸,木,8획,2급
憩,쉴 게,心,16획,2급
揭,높이들/걸 게,手,12획,2급
甄,질그릇 견,瓦,14획,2급
璟,옥빛 경,玉,16획,2급
儆,경계할 경,人,15획,2급
瓊,구슬 경,玉,19획,2급
炅,빛날 경,火,8획,2급
雇,품팔 고,隹,12획,2급
皐,언덕 고,白,11획,2급
菓,과자/실과 과,艸,12획,2급
戈,창 과,戈,4획,2급
瓜,외 과,瓜,5획,2급
款,항목 관,欠,12획,2급
琯,옥피리 관,玉,12획,2급
串,"꿸 관, 땅이름 곶",丨,7획,2급
傀,허수아비 괴,人,12획,2급
槐,회화나무/느티나무 괴,木,14획,2급
僑,더부살이 교,人,14획,2급
膠,아교 교,肉,15획,2급
絞,목맬 교,糸,12획,2급
鷗,갈매기 구,鳥,22획,2급
歐,구라파/칠 구,欠,15획,2급
購,살 구,貝,17획,2급
邱,언덕 구,邑,8획,2급
玖,옥돌 구,玉,7획,2급
鞠,성/국문할 국,革,17획,2급
窟,굴 굴,穴,13획,2급
掘,팔 굴,手,11획,2급
圈,우리 권,囗,11획,2급
闕,대궐 궐,門,18획,2급
閨,안방 규,門,14획,2급
珪,홀 규,玉,10획,2급
揆,헤아릴 규,手,12획,2급
奎,별 규,大,9획,2급
圭,서옥/쌍토 규,土,6획,2급
瑾,아름다운옥 근,玉,15획,2급
槿,무궁화 근,木,15획,2급
兢,떨릴 긍,儿,14획,2급
棋,바둑 기,木,12획,2급
冀,바랄 기,八,16획,2급
岐,갈림길 기,山,7획,2급
驥,천리마 기,馬,26획,2급
耆,늙을 기,老,10획,2급
麒,기린 기,鹿,19획,2급
沂,물이름 기,水,7획,2급
淇,물이름 기,水,11획,2급
琦,옥이름 기,玉,12획,2급
琪,아름다운옥 기,玉,12획,2급
璣,별이름 기,玉,16획,2급
箕,키 기,竹,14획,2급
騏,준마 기,馬,18획,2급
濃,짙을 농,水,16획,2급
尿,오줌 뇨,尸,7획,2급
尼,여승 니,尸,5획,2급
溺,빠질 닉,水,13획,2급
鍛,쇠불릴 단,金,17획,2급
湍,여울 단,水,12획,2급
潭,못 담,水,15획,2급
膽,쓸개 담,肉,17획,2급
塘,못 당,土,13획,2급
戴,일 대,戈,17획,2급
垈,집터 대,土,8획,2급
悳,큰 덕,心,12획,2급
悼,슬퍼할 도,心,11획,2급
燾,비칠 도,火,18획,2급
惇,도타울 돈,心,11획,2급
燉,불빛 돈,火,16획,2급
頓,조아릴 돈,頁,13획,2급
乭,이름 돌,乙,6획,2급
棟,마룻대 동,木,12획,2급
桐,오동나무 동,木,10획,2급
董,바를 동,艸,13획,2급
杜,막을 두,木,7획,2급
藤,등나무 등,艸,19획,2급
謄,베낄 등,言,17획,2급
鄧,나라이름 등,邑,15획,2급
裸,벗을 라,衣,13획,2급
洛,물이름 락,水,9획,2급
爛,빛날 란,火,21획,2급
藍,쪽 람,艸,18획,2급
拉,끌 랍,手,8획,2급
萊,명아주 래,艸,12획,2급
輛,수레 량,車,15획,2급
