level,hanja,mean,pron,hms
6__,路,길,로,길 로
5ii,勞,일할,로,일할 로
3ii,露,이슬,로,이슬 로
3ii,爐,화로,로,화로 로
6__,綠,푸를,록,푸를 록
4ii,錄,기록할,록,기록할 록
3ii,祿,녹,록,녹 록
3__,鹿,사슴,록,사슴 록
4ii,論,논할,론,논할 론
3ii,弄,희롱할,롱,희롱할 롱
3ii,賴,의뢰할,뢰,의뢰할 뢰
3ii,雷,우레,뢰,우레 뢰
5__,料,헤아릴,료,헤아릴 료
3__,僚,동료,료,동료 료
3__,了,마칠,료,마칠 료
4__,龍,용,룡,용 룡
3ii,漏,샐,루,샐 루
3ii,樓,다락,루,다락 루
3ii,累,여러/자주,루,여러/자주 루
3__,淚,눈물,루,눈물 루
3__,屢,여러,루,여러 루
5ii,流,흐를,류,흐를 류
5ii,類,무리,류,무리 류
4ii,留,머무를,류,머무를 류
4__,柳,버들,류,버들 류
8__,六,여섯,륙,여섯 륙
5ii,陸,뭍,륙,뭍 륙
4__,輪,바퀴,륜,바퀴 륜
3ii,倫,인륜,륜,인륜 륜
4ii,律,법칙,률,법칙 률
3ii,率,비율,률,비율 률|거느릴 솔
3ii,栗,밤,률,밤 률
3ii,隆,높을,륭,높을 륭
3ii,陵,언덕,릉,언덕 릉
7__,里,마을,리,마을 리
6ii,利,이할,리,이할 리
6ii,理,다스릴,리,다스릴 리
6__,李,오얏/성,리,오얏/성 리
4__,離,떠날,리,떠날 리
3ii,吏,벼슬아치/관리,리,벼슬아치/관리 리
3ii,履,밟을,리,밟을 리
3ii,裏,속,리,속 리
3__,梨,배,리,배 리
