hanja,kor,radical,radical_name,stroke_count,level,rep_pron
換,바꿀 환,手,손 수,12,준3급,환
洲,물가 주,水,물 수,9,준3급,주
雖,비록 수,隹,새 추,17,3급,수
億,억 억,人,사람 인,15,5급,억
壯,장할 장,士,선비 사,7,4급,장
云,이를 운,二,두 이,4,3급,운
詞,말/글 사,言,말씀 언,12,준3급,사
姪,조카 질,女,계집 녀,9,3급,질
職,직분 직,耳,귀 이,18,준4급,직
業,업 업,木,나무 목,13,준6급,업
隔,사이뜰 격,阜,언덕 부,13,준3급,격
昇,오를 승,日,날 일,8,준3급,승
寅,범/동방 인,宀,집 면,11,3급,인
掠,노략질할 략,手,손 수,11,3급,략
貝,조개 패,貝,조개 패,7,3급,패
賤,천할 천,貝,조개 패,15,준3급,천
勿,말 물,勹,쌀 포,4,준3급,물
徵,부를 징,彳,조금걸을 척,15,준3급,징
材,재목 재,木,나무 목,7,준5급,재
崇,높을 숭,山,메 산,11,4급,숭
困,곤할 곤,囗,에워쌀 위|나라 국,7,4급,곤
然,그럴 연,火,불 화,12,7급,연
蛇,긴뱀 사,虫,벌레 훼,11,준3급,사
城,재 성,土,흙 토,10,준4급,성
吾,나 오,口,입 구,7,3급,오
殘,남을 잔,歹,뼈앙상할 알|나쁠 대,12,4급,잔
繫,맬 계,糸,실 사|가는실 멱,19,3급,계
順,순할 순,頁,머리 혈,12,준5급,순
肺,허파 폐,肉,고기 육,8,준3급,폐
儉,검소할 검,人,사람 인,15,4급,검
毒,독 독,毋,말 무,9,준4급,독
柳,버들 류,木,나무 목,9,4급,류
務,힘쓸 무,力,힘 력,11,준4급,무
招,부를 초,手,손 수,8,4급,초
淨,깨끗할 정,水,물 수,11,준3급,정
揚,날릴 양,手,손 수,12,준3급,양
散,흩을 산,攴,칠 복,12,4급,산
滅,꺼질/멸할 멸,水,물 수,13,준3급,멸
醫,의원 의,酉,닭 유,18,6급,의
聲,소리 성,耳,귀 이,17,준4급,성
獲,얻을 획,犬,개 견,17,준3급,획
鷄,닭 계,鳥,새 조,21,4급,계
以,써 이,人,사람 인,5,준5급,이
蜂,벌 봉,虫,벌레 훼,13,3급,봉
掛,걸 괘,手,손 수,11,3급,괘
鳥,새 조,鳥,새 조,11,준4급,조
憐,불쌍히여길 련,心,마음 심,15,3급,련
夷,오랑캐 이,大,큰 대,6,3급,이
莫,없을 막,艸,풀 초,11,준3급,막
斜,비낄 사,斗,말 두,11,준3급,사
葬,장사지낼 장,艸,풀 초,13,준3급,장
季,계절 계,子,아들 자,8,4급,계
籍,문서 적,竹,대 죽,20,4급,적
商,장사 상,口,입 구,11,준5급,상
陶,질그릇 도,阜,언덕 부,11,준3급,도
增,더할 증,土,흙 토,15,준4급,증
渴,목마를 갈,水,물 수,12,3급,갈
開,열 개,門,문 문,12,6급,개
惡,악할 악|미워할 오,心,마음 심,12,준5급,악
過,지날 과,辵,쉬엄쉬엄갈 착,13,준5급,과
密,빽빽할 밀,宀,집 면,11,준4급,밀
偶,짝 우,人,사람 인,11,준3급,우
寂,고요할 적,宀,집 면,11,준3급,적
絹,비단 견,糸,실 사|가는실 멱,13,3급,견
