hanja,kor,radical,total_num_of_strokes,level,level_sort,sort_key
家,집 가,宀,10획,준7급,7ii,가
假,거짓 가,人,11획,준4급,4ii,가
街,거리 가,行,12획,준4급,4ii,가
暇,틈/겨를 가,日,13획,4급,4__,가
歌,노래 가,欠,14획,7급,7__,가
價,값 가,人,15획,준5급,5ii,가
加,더할 가,力,5획,5급,5__,가
可,옳을 가,口,5획,5급,5__,가
佳,아름다울 가,人,8획,준3급,3ii,가
架,시렁 가,木,9획,준3급,3ii,가
脚,다리 각,肉,11획,준3급,3ii,각
閣,집 각,門,14획,준3급,3ii,각
覺,깨달을 각,見,20획,4급,4__,각
各,각각 각,口,6획,준6급,6ii,각
角,뿔 각,角,7획,준6급,6ii,각
却,물리칠 각,卩,7획,3급,3__,각
刻,새길 각,刀,8획,4급,4__,각
間,사이 간,門,12획,준7급,7ii,간
幹,줄기 간,干,13획,준3급,3ii,간
懇,간절할 간,心,17획,준3급,3ii,간
簡,대쪽/간략할 간,竹,18획,4급,4__,간
干,방패 간,干,3획,4급,4__,간
刊,새길 간,刀,5획,준3급,3ii,간
肝,간 간,肉,7획,준3급,3ii,간
姦,간음할 간,女,9획,3급,3__,간
看,볼 간,目,9획,4급,4__,간
渴,목마를 갈,水,12획,3급,3__,갈
敢,감히/구태여 감,攴,12획,4급,4__,감
減,덜 감,水,12획,준4급,4ii,감
感,느낄 감,心,13획,6급,6__,감
監,볼 감,皿,14획,준4급,4ii,감
鑑,거울 감,金,22획,준3급,3ii,감
甘,달 감,甘,5획,4급,4__,감
甲,갑옷 갑,田,5획,4급,4__,갑
剛,굳셀 강,刀,10획,준3급,3ii,강
強,강할 강,弓,11획,6급,6__,강
康,편안 강,广,11획,준4급,4ii,강
綱,벼리 강,糸,14획,준3급,3ii,강
鋼,강철 강,金,16획,준3급,3ii,강
講,욀 강,言,17획,준4급,4ii,강
江,강 강,水,6획,준7급,7ii,강
降,내릴 강|항복할 항,阜,9획,4급,4__,강
個,낱 개,人,10획,준4급,4ii,개
開,열 개,門,12획,6급,6__,개
慨,슬퍼할 개,心,14획,3급,3__,개
蓋,덮을 개,艸,14획,준3급,3ii,개
槪,대개 개,木,15획,준3급,3ii,개
介,낄 개,人,4획,준3급,3ii,개
改,고칠 개,攴,7획,5급,5__,개
皆,다 개,白,9획,3급,3__,개
客,손 객,宀,9획,준5급,5ii,객
距,상거할 거,足,12획,준3급,3ii,거
據,근거 거,手,16획,4급,4__,거
擧,들 거,手,18획,5급,5__,거
