level,hanja,mean,pron,hms
4ii,悲,슬플,비,슬플 비
5__,都,도읍,도,도읍 도
4ii,武,호반,무,호반 무
3ii,臨,임할,림,임할 림
3__,竝,나란히,병,나란히 병
5__,吉,길할,길,길할 길
3ii,慕,그릴,모,그릴 모
3ii,梁,들보/돌다리,량,들보/돌다리 량
7ii,道,길,도,길 도
3__,繫,맬,계,맬 계
4ii,擔,멜,담,멜 담
6ii,各,각각,각,각각 각
4__,伏,엎드릴,복,엎드릴 복
3ii,稿,원고/볏짚,고,원고/볏짚 고
3__,豈,어찌,기,어찌 기
3ii,鬼,귀신,귀,귀신 귀
3ii,絡,이을/얽을,락,이을/얽을 락
3__,茫,아득할,망,아득할 망
6ii,光,빛,광,빛 광
5__,可,옳을,가,옳을 가
3ii,勿,말,물,말 물
7__,同,한가지,동,한가지 동
3ii,丙,남녘,병,남녘 병
5__,倍,곱,배,곱 배
3__,屛,병풍,병,병풍 병
4ii,係,맬,계,맬 계
3ii,腦,골/뇌수,뇌,골/뇌수 뇌
4ii,房,방,방,방 방
3__,賓,손,빈,손 빈
5ii,勞,일할,로,일할 로
4__,拒,막을,거,막을 거
4ii,得,얻을,득,얻을 득
8__,門,문,문,문 문
5__,景,볕,경,볕 경
4__,簡,대쪽/간략할,간,대쪽/간략할 간
3__,辨,분별할,변,분별할 변
3__,隣,이웃,린,이웃 린
3ii,丹,붉을,단,붉을 단
3ii,猛,사나울,맹,사나울 맹
3__,龜,거북,구,거북 구|거북 귀|터질 균
3ii,架,시렁,가,시렁 가
4ii,黨,무리,당,무리 당
3ii,姑,시어미,고,시어미 고
5__,規,법,규,법 규
4__,祕,숨길,비,숨길 비
3ii,弓,활,궁,활 궁
3ii,奮,떨칠,분,떨칠 분
4__,歸,돌아갈,귀,돌아갈 귀
3ii,伯,맏,백,맏 백
4ii,保,지킬,보,지킬 보
4ii,罰,벌할,벌,벌할 벌
6__,交,사귈,교,사귈 교
3ii,茶,차,다,차 다|차 차
4__,散,흩을,산,흩을 산
3__,罔,없을,망,없을 망
4ii,毒,독,독,독 독
3__,欺,속일,기,속일 기
3ii,倒,넘어질,도,넘어질 도
4__,甲,갑옷,갑,갑옷 갑
5ii,史,사기,사,사기 사
4__,勸,권할,권,권할 권
6ii,今,이제,금,이제 금
3__,伴,짝,반,짝 반
4ii,慶,경사,경,경사 경
6__,待,기다릴,대,기다릴 대
4ii,味,맛,미,맛 미
6__,朴,성,박,성 박
4ii,副,버금,부,버금 부
4__,批,비평할,비,비평할 비
4ii,導,인도할,도,인도할 도
3__,乞,빌,걸,빌 걸
4ii,句,글귀,구,글귀 구
4__,負,질,부,질 부
3ii,諾,허락할,낙,허락할 낙
7ii,答,대답,답,대답 답
3ii,凡,무릇,범,무릇 범
4__,穀,곡식,곡,곡식 곡
4ii,律,법칙,률,법칙 률
7__,登,오를,등,오를 등
4ii,監,볼,감,볼 감
6ii,堂,집,당,집 당
3__,騰,오를,등,오를 등
6ii,社,모일,사,모일 사
4__,輪,바퀴,륜,바퀴 륜
5ii,能,능할,능,능할 능
4ii,脈,줄기,맥,줄기 맥
4ii,訪,찾을,방,찾을 방
3ii,較,견줄/비교할,교,견줄/비교할 교
6__,度,법도,도,법도 도|헤아릴 탁
3ii,貢,바칠,공,바칠 공
3__,塊,흙덩이,괴,흙덩이 괴
3__,謹,삼갈,근,삼갈 근
3ii,懇,간절할,간,간절할 간
5__,寫,베낄,사,베낄 사
6ii,理,다스릴,리,다스릴 리
3__,侮,업신여길,모,업신여길 모
3__,厥,그,궐,그 궐
7__,冬,겨울,동,겨울 동
4ii,努,힘쓸,노,힘쓸 노
3ii,蛇,긴뱀,사,긴뱀 사
