level,hanja,mean,pron,hms
준3급,靈,,,신령 령
4급,居,,,살 거
준3급,貿,,,무역할 무
준3급,培,,,북돋울 배
3급,郭,,,둘레/외성 곽
준3급,槪,,,대개 개
준3급,戀,,,그리워할/그릴 련
3급,煩,,,번거로울 번
4급,鷄,,,닭 계
3급,憫,,,민망할 민
4급,堅,,,굳을 견
4급,妙,,,묘할 묘
준3급,乾,,,하늘/마를 건
4급,模,,,본뜰 모
3급,劣,,,못할 렬
준3급,附,,,붙을 부
준3급,蘭,,,난초 란
준3급,契,,,맺을 계
6급,郡,,,고을 군
4급,傾,,,기울 경
준3급,械,,,기계 계
3급,挑,,,돋울 도
3급,憐,,,불쌍히여길 련
준3급,娘,,,계집 낭
준3급,樓,,,다락 루
5급,壇,,,단 단
준3급,剛,,,굳셀 강
3급,慢,,,거만할 만
준3급,盟,,,맹세 맹
준3급,距,,,상거할 거
준3급,耐,,,견딜 내
3급,糾,,,얽을 규
3급,苗,,,모 묘
3급,冒,,,무릅쓸 모
4급,更,,,고칠 경|다시 갱
4급,敢,,,감히/구태여 감
4급,激,,,격할 격
3급,倣,,,본뜰 방
준4급,究,,,연구할 구
준3급,漠,,,넓을 막
5급,領,,,거느릴 령
3급,傍,,,곁 방
준3급,補,,,기울 보
준3급,爐,,,화로 로
3급,飢,,,주릴 기
3급,幾,,,몇 기
준3급,勵,,,힘쓸 려
준3급,唐,,,당나라/당황할 당
준3급,巧,,,공교할 교
