level,hanja,mean,pron,hms
8__,先,먼저,선,먼저 선
6ii,線,줄,선,줄 선
5ii,鮮,고울,선,고울 선
5ii,仙,신선,선,신선 선
5__,善,착할,선,착할 선
5__,選,가릴,선,가릴 선
5__,船,배,선,배 선
4__,宣,베풀,선,베풀 선
3ii,禪,선,선,선 선
3ii,旋,돌,선,돌 선
6ii,雪,눈,설,눈 설
5ii,說,말씀,설,말씀 설|달랠 세
4ii,設,베풀,설,베풀 설
4__,舌,혀,설,혀 설
3__,攝,다스릴/잡을,섭,다스릴/잡을 섭
3__,涉,건널,섭,건널 섭
7ii,姓,성,성,성 성
6ii,成,이룰,성,이룰 성
6ii,省,살필,성,살필 성|덜 생
5ii,性,성품,성,성품 성
4ii,誠,정성,성,정성 성
4ii,聲,소리,성,소리 성
4ii,盛,성할,성,성할 성
4ii,聖,성인,성,성인 성
4ii,城,재,성,재 성
4ii,星,별,성,별 성
7ii,世,인간,세,인간 세
5ii,洗,씻을,세,씻을 세
5ii,歲,해,세,해 세
4ii,勢,형세,세,형세 세
4ii,稅,세금,세,세금 세
4ii,細,가늘,세,가늘 세
8__,小,작을,소,작을 소
7__,少,적을,소,적을 소
7__,所,바,소,바 소
6ii,消,사라질,소,사라질 소
4ii,笑,웃음,소,웃음 소
4ii,掃,쓸,소,쓸 소
4ii,素,본디/흴,소,본디/흴 소
3ii,訴,호소할,소,호소할 소
3ii,燒,사를,소,사를 소
3ii,疏,소통할,소,소통할 소
3ii,蘇,되살아날,소,되살아날 소
3__,召,부를,소,부를 소
3__,昭,밝을,소,밝을 소
3__,蔬,나물,소,나물 소
3__,騷,떠들,소,떠들 소
6__,速,빠를,속,빠를 속
5ii,束,묶을,속,묶을 속
4ii,續,이을,속,이을 속
4ii,俗,풍속,속,풍속 속
4__,屬,붙일,속,붙일 속
3__,粟,조,속,조 속
6__,孫,손자,손,손자 손
4__,損,덜,손,덜 손
4ii,送,보낼,송,보낼 송
4__,頌,기릴/칭송할,송,기릴/칭송할 송
4__,松,소나무,송,소나무 송
3ii,訟,송사할,송,송사할 송
3__,誦,욀,송,욀 송
3ii,鎖,쇠사슬,쇄,쇠사슬 쇄
3ii,刷,인쇄할,쇄,인쇄할 쇄
3ii,衰,쇠할,쇠,쇠할 쇠
8__,水,물,수,물 수
7ii,手,손,수,손 수
7__,數,셈,수,셈 수
6__,樹,나무,수,나무 수
5ii,首,머리,수,머리 수
4ii,修,닦을,수,닦을 수
4ii,受,받을,수,받을 수
4ii,守,지킬,수,지킬 수
4ii,授,줄,수,줄 수
4ii,收,거둘,수,거둘 수
4__,秀,빼어날,수,빼어날 수
3ii,愁,근심,수,근심 수
3ii,壽,목숨,수,목숨 수
3ii,帥,장수,수,장수 수
3ii,殊,다를,수,다를 수
3ii,輸,보낼,수,보낼 수
3ii,隨,따를,수,따를 수
3ii,需,쓰일/쓸,수,쓰일/쓸 수
3ii,垂,드리울,수,드리울 수
3ii,獸,짐승,수,짐승 수
3__,睡,졸음,수,졸음 수
3__,須,모름지기,수,모름지기 수
3__,雖,비록,수,비록 수
3__,誰,누구,수,누구 수
3__,搜,찾을,수,찾을 수
3__,囚,가둘,수,가둘 수
3__,遂,드디어,수,드디어 수
5ii,宿,잘,숙,잘 숙|별자리 수
4__,叔,아재비,숙,아재비 숙
4__,肅,엄숙할,숙,엄숙할 숙
3ii,淑,맑을,숙,맑을 숙
3ii,熟,익을,숙,익을 숙
3__,孰,누구,숙,누구 숙
5ii,順,순할,순,순할 순
4ii,純,순수할,순,순수할 순
3ii,旬,열흘,순,열흘 순
3ii,瞬,눈깜짝일,순,눈깜짝일 순
3ii,巡,돌/순행할,순,돌/순행할 순
3__,循,돌,순,돌 순
3__,殉,따라죽을,순,따라죽을 순
3__,脣,입술,순,입술 순
6ii,術,재주,술,재주 술
3ii,述,펼,술,펼 술
3__,戌,개,술,개 술
4__,崇,높을,숭,높을 숭
6__,習,익힐,습,익힐 습
3ii,濕,젖을,습,젖을 습
3ii,拾,주울,습,주울 습|열 십
3ii,襲,엄습할,습,엄습할 습
6__,勝,이길,승,이길 승
4ii,承,이을,승,이을 승
3ii,乘,탈,승,탈 승
3ii,昇,오를,승,오를 승
3ii,僧,중,승,중 승
7ii,時,때,시,때 시
7ii,市,저자,시,저자 시
6ii,始,비로소,시,비로소 시
5__,示,보일,시,보일 시
4ii,詩,시,시,시 시
4ii,試,시험,시,시험 시
4ii,視,볼,시,볼 시
4ii,施,베풀,시,베풀 시
4ii,是,이/옳을,시,이/옳을 시
3ii,侍,모실,시,모실 시
3__,矢,화살,시,화살 시
7ii,食,밥/먹을,식,밥/먹을 식
7__,植,심을,식,심을 식
6__,式,법,식,법 식
5ii,識,알,식,알 식
4ii,息,쉴,식,쉴 식
3ii,飾,꾸밀,식,꾸밀 식
6ii,身,몸,신,몸 신
6ii,神,귀신,신,귀신 신
6ii,信,믿을,신,믿을 신
6ii,新,새,신,새 신
5ii,臣,신하,신,신하 신
4ii,申,납,신,납 신
3ii,愼,삼갈,신,삼갈 신
3__,辛,매울,신,매울 신
3__,伸,펼,신,펼 신
3__,晨,새벽,신,새벽 신
8__,室,집,실,집 실
6__,失,잃을,실,잃을 실
5ii,實,열매,실,열매 실
7__,心,마음,심,마음 심
4ii,深,깊을,심,깊을 심
3ii,甚,심할,심,심할 심
3ii,審,살필,심,살필 심
3ii,沈,"잠길침(:),성씨",심,"잠길침(:),성씨 심"
3__,尋,찾을,심,찾을 심
8__,十,열,십,열 십
3ii,雙,두,쌍,두 쌍
4__,氏,각시/성씨,씨,각시/성씨 씨
5ii,兒,아이,아,아이 아
3ii,雅,맑을,아,맑을 아
3ii,我,나,아,나 아
3ii,阿,언덕,아,언덕 아
3ii,亞,버금,아,버금 아
3ii,芽,싹,아,싹 아
3ii,牙,어금니,아,어금니 아
3__,餓,주릴,아,주릴 아
5ii,惡,악할,악,악할 악|미워할 오
3__,岳,큰산,악,큰산 악
7ii,安,편안,안,편안 안
5__,案,책상,안,책상 안
4ii,眼,눈,안,눈 안
3ii,顔,낯,안,낯 안
3ii,岸,언덕,안,언덕 안
3__,雁,기러기,안,기러기 안
3__,謁,뵐,알,뵐 알
4ii,暗,어두울,암,어두울 암
3ii,巖,바위,암,바위 암
4ii,壓,누를,압,누를 압
3__,押,누를,압,누를 압
3ii,仰,우러를,앙,우러를 앙
3ii,央,가운데,앙,가운데 앙
3__,殃,재앙,앙,재앙 앙
6__,愛,사랑,애,사랑 애
3ii,哀,슬플,애,슬플 애
3__,涯,물가,애,물가 애
4ii,液,진,액,진 액
4__,額,이마,액,이마 액
3__,厄,액,액,액 액
6__,夜,밤,야,밤 야
6__,野,들,야,들 야
3__,也,이끼/어조사,야,이끼/어조사 야
3__,耶,어조사,야,어조사 야
6ii,弱,약할,약,약할 약
6ii,藥,약,약,약 약
5ii,約,맺을,약,맺을 약
3ii,若,같을,약,같을 약|반야 야
3__,躍,뛸,약,뛸 약
6__,陽,볕,양,볕 양
6__,洋,큰바다,양,큰바다 양
5ii,養,기를,양,기를 양
4ii,羊,양,양,양 양
4__,樣,모양,양,모양 양
3ii,讓,사양할,양,사양할 양
3ii,壤,흙덩이,양,흙덩이 양
3ii,揚,날릴,양,날릴 양
3__,楊,버들,양,버들 양
7__,語,말씀,어,말씀 어
5__,漁,고기잡을,어,고기잡을 어
5__,魚,고기/물고기,어,고기/물고기 어
3ii,御,거느릴,어,거느릴 어
3__,於,어조사,어,어조사 어|탄식할 오
5__,億,억,억,억 억
3ii,憶,생각할,억,생각할 억
3ii,抑,누를,억,누를 억
6__,言,말씀,언,말씀 언
3__,焉,어찌,언,어찌 언
4__,嚴,엄할,엄,엄할 엄
6ii,業,업,업,업 업
4ii,餘,남을,여,남을 여
4ii,如,같을,여,같을 여
4__,與,더불/줄,여,더불/줄 여
3__,輿,수레,여,수레 여
3__,汝,너,여,너 여
3__,余,나,여,나 여
3__,予,나,여,나 여
4ii,逆,거스릴,역,거스릴 역
4__,域,지경,역,지경 역
4__,易,바꿀,역,바꿀 역|쉬울 이
3ii,疫,전염병,역,전염병 역
3ii,亦,또,역,또 역
3ii,役,부릴,역,부릴 역
3ii,譯,번역할,역,번역할 역
3ii,驛,역,역,역 역
