hanja,kor,radical,radical_name,stroke_count,level,rep_pron
乙,새 을,乙,둘째 천간 을,1,준3급,을
一,한 일,一,한 일,1,8급,일
了,마칠 료,亅,갈고리 궐,2,3급,료
二,두 이,二,두 이,2,8급,이
九,아홉 구,乙,둘째 천간 을,2,8급,구
入,들 입,入,들 입,2,7급,입
又,또 우,又,또 우,2,3급,우
乃,이에 내,丿,삐침 별,2,3급,내
人,사람 인,人,사람 인,2,8급,인
八,여덟 팔,八,여덟 팔,2,8급,팔
十,열 십,十,열 십,2,8급,십
卜,점 복,卜,점 복,2,3급,복
刀,칼 도,刀,칼 도,2,준3급,도
丁,고무래/장정 정,一,한 일,2,4급,정
七,일곱 칠,一,한 일,2,8급,칠
力,힘 력,力,힘 력,2,준7급,력
女,계집 녀,女,계집 녀,3,8급,녀
川,내 천,巛,내 천,3,7급,천
亡,망할 망,亠,돼지해머리 두,3,5급,망
于,어조사 우,二,두 이,3,3급,우
乞,빌 걸,乙,둘째 천간 을,3,3급,걸
也,이끼/어조사 야,乙,둘째 천간 을,3,3급,야
寸,마디 촌,寸,마디 촌,3,8급,촌
山,메 산,山,메 산,3,8급,산
己,몸 기,己,몸 기,3,준5급,기
巳,뱀 사,己,몸 기,3,3급,사
已,이미 이,己,몸 기,3,준3급,이
干,방패 간,干,방패 간,3,4급,간
久,오랠 구,丿,삐침 별,3,준3급,구
士,선비 사,士,선비 사,3,준5급,사
才,재주 재,手,손 수,3,준6급,재
子,아들 자,子,아들 자,3,준7급,자
凡,무릇 범,几,안석 궤,3,준3급,범
千,일천 천,十,열 십,3,7급,천
口,입 구,口,입 구,3,7급,구
小,작을 소,小,작을 소,3,8급,소
工,장인 공,工,장인 공,3,준7급,공
夕,저녁 석,夕,저녁 석,3,7급,석
丸,둥글 환,丶,점 주,3,3급,환
大,큰 대,大,큰 대,3,8급,대
三,석 삼,一,한 일,3,8급,삼
上,윗 상,一,한 일,3,준7급,상
丈,어른 장,一,한 일,3,준3급,장
下,아래 하,一,한 일,3,준7급,하
弓,활 궁,弓,활 궁,3,준3급,궁
土,흙 토,土,흙 토,3,8급,토
曰,가로 왈,曰,가로 왈,4,3급,왈
氏,각시/성씨 씨,氏,각시/성씨 씨,4,4급,씨
予,나 여,亅,갈고리 궐,4,3급,여
匹,짝 필,匸,감출 혜,4,3급,필
犬,개 견,犬,개 견,4,4급,견
比,견줄 비,比,견줄 비,4,5급,비
王,임금 왕,玉,구슬 옥,4,8급,왕
止,그칠 지,止,그칠 지,4,5급,지
斤,근/날 근,斤,근/날 근,4,3급,근
文,글월 문,文,글월 문,4,7급,문
厄,액 액,厂,기슭 한,4,3급,액
木,나무 목,木,나무 목,4,8급,목
日,날 일,日,날 일,4,8급,일
月,달 월,月,달 월,4,8급,월
五,다섯 오,二,두 이,4,8급,오
云,이를 운,二,두 이,4,3급,운
井,우물 정,二,두 이,4,준3급,정
互,서로 호,二,두 이,4,3급,호
內,안 내,入,들 입,4,준7급,내
及,미칠 급,又,또 우,4,준3급,급
反,돌이킬/돌아올 반,又,또 우,4,준6급,반
友,벗 우,又,또 우,4,준5급,우
中,가운데 중,丨,뚫을 곤,4,8급,중
心,마음 심,心,마음 심,4,7급,심
斗,말 두,斗,말 두,4,준4급,두
方,모 방,方,모 방,4,준7급,방
水,물 수,水,물 수,4,8급,수
火,불 화,火,불 화,4,8급,화
化,될 화,匕,비수 비,4,준5급,화
之,갈 지,丿,삐침 별,4,준3급,지
介,낄 개,人,사람 인,4,준3급,개
今,이제 금,人,사람 인,4,준6급,금
仁,어질 인,人,사람 인,4,4급,인
壬,북방 임,士,선비 사,4,준3급,임
牛,소 우,牛,소 우,4,5급,우
手,손 수,手,손 수,4,준7급,수
屯,진칠 둔,屮,싹날 철,4,3급,둔
勿,말 물,勹,쌀 포,4,준3급,물
