total,grade,percent,elasped,minute,second
100,75,75,530,8,50
100,75,75,518,8,38
505,245,48,2008,33,28
50,42,84,239,3,59
50,28,56,424,7,4
50,23,46,369,6,9
50,15,30,453,7,33
50,26,52,233,3,53
50,24,48,190,3,10
50,43,86,157,2,37
50,45,90,159,2,39
50,18,36,406,6,46
50,30,60,167,2,47
50,28,56,276,4,36
50,39,78,225,3,45
50,36,72,213,3,33
50,45,90,195,3,15
50,41,82,252,4,12
55,40,72,268,4,28
55,52,94,171,2,51
5,2,40,24,0,24
214,107,50,1169,19,29
100,78,78,607,10,7
100,71,71,733,12,13
100,85,85,592,9,52
100,78,78,588,9,48
100,84,84,550,9,10
100,97,97,579,9,39
100,80,80,1013,16,53
100,74,74,727,12,7
100,77,77,775,12,55
100,74,74,488,8,8
100,76,76,759,12,39
100,77,77,4219,70,19
100,82,82,749,12,29
100,75,75,784,13,4
100,75,75,679,11,19
