加 더할 가
可 옳을 가:
改 고칠 개(:)
擧 들 거:
去 갈 거:
件 물건 건
建 세울 건:
健 굳셀 건:
輕 가벼울 경
競 다툴 경:
景 볕 경(:)
考 생각할 고(:)
固 굳을 고(:)
曲 굽을 곡
橋 다리 교
救 구원할 구:
貴 귀할 귀:
規 법 규
給 줄 급
汽 물끓는김 기
期 기약할 기
技 재주 기
吉 길할 길
壇 단 단
談 말씀 담
都 도읍 도
島 섬 도
落 떨어질 락
冷 찰 랭:
量 헤아릴 량
領 거느릴 령
令 하여금 령(:)
料 헤아릴 료(:)
馬 말 마:
末 끝 말
亡 망할 망
買 살 매:
賣 팔 매(:)
無 없을 무
倍 곱 배(:)
比 견줄 비:
費 쓸 비:
鼻 코 비:
氷 얼음 빙
寫 베낄 사
思 생각 사(:)
査 조사할 사
賞 상줄 상
序 차례 서:
善 착할 선:
選 가릴 선:
船 배 선
示 보일 시:
案 책상 안:
漁 고기잡을 어
魚 고기/물고기 어
億 억 억
熱 더울 열
葉 잎 엽
屋 집 옥
完 완전할 완
曜 빛날 요:
浴 목욕할 욕
牛 소 우
雄 수컷 웅
原 언덕 원
院 집 원
願 원할 원:
位 자리 위
耳 귀 이:
因 인할 인
災 재앙 재
再 두 재:
爭 다툴 쟁
貯 쌓을 저:
赤 붉을 적
停 머물 정
操 잡을 조(:)
終 마칠 종
罪 허물 죄:
止 그칠 지
唱 부를 창:
鐵 쇠 철
初 처음 초
最 가장 최:
祝 빌 축
致 이를 치:
則 법칙 칙
他 다를 타
打 칠 타:
卓 높을 탁
炭 숯 탄:
板 널 판
敗 패할 패:
河 물 하
寒 찰 한
許 허락할 허
湖 호수 호
患 근심 환:
黑 검을 흑
