hanja,kor,link
校,학교 교:,https://namu.wiki/w/%E6%A0%A1
敎,가르칠 교:,https://namu.wiki/w/%E6%95%8E
九,아홉 구,https://namu.wiki/w/%E4%B9%9D
國,나라 국,https://namu.wiki/w/%E5%9C%8B
軍,군사 군,https://namu.wiki/w/%E8%BB%8D
金,쇠 금 | 성 김,https://namu.wiki/w/%E9%87%91
南,남녘 남,https://namu.wiki/w/%E5%8D%97
女,계집 녀,https://namu.wiki/w/%E5%A5%B3
年,해 년,https://namu.wiki/w/%E5%B9%B4
大,큰 대(:)[1],https://namu.wiki/w/%E5%A4%A7
東,동녘 동,https://namu.wiki/w/%E6%9D%B1
六,여섯 륙,https://namu.wiki/w/%E5%85%AD
萬,일만 만:,https://namu.wiki/w/%E8%90%AC
母,어미 모:,https://namu.wiki/w/%E6%AF%8D
木,나무 목[2],https://namu.wiki/w/%E6%9C%A8
門,문 문,https://namu.wiki/w/%E9%96%80
民,백성 민,https://namu.wiki/w/%E6%B0%91
白,흰 백,https://namu.wiki/w/%E7%99%BD
父,아비 부,https://namu.wiki/w/%E7%88%B6
北,북녘 북 | 달아날 배:[3],https://namu.wiki/w/%E5%8C%97
四,넉 사:,https://namu.wiki/w/%E5%9B%9B
山,메 산,https://namu.wiki/w/%E5%B1%B1
三,석 삼,https://namu.wiki/w/%E4%B8%89
生,날 생,https://namu.wiki/w/%E7%94%9F
西,서녘 서,https://namu.wiki/w/%E8%A5%BF
先,먼저 선,https://namu.wiki/w/%E5%85%88
小,작을 소:,https://namu.wiki/w/%E5%B0%8F
水,물 수,https://namu.wiki/w/%E6%B0%B4
室,집 실,https://namu.wiki/w/%E5%AE%A4
十,열 십,https://namu.wiki/w/%E5%8D%81
五,다섯 오:,https://namu.wiki/w/%E4%BA%94
王,임금 왕,https://namu.wiki/w/%E7%8E%8B
外,바깥 외:,https://namu.wiki/w/%E5%A4%96
月,달 월,https://namu.wiki/w/%E6%9C%88
二,두 이:,https://namu.wiki/w/%E4%BA%8C
人,사람 인,https://namu.wiki/w/%E4%BA%BA
一,한 일,https://namu.wiki/w/%E4%B8%80
日,날 일,https://namu.wiki/w/%E6%97%A5
長,긴 장(:)[4],https://namu.wiki/w/%E9%95%B7
弟,아우 제:,https://namu.wiki/w/%E5%BC%9F
中,가운데 중,https://namu.wiki/w/%E4%B8%AD
靑,푸를 청,https://namu.wiki/w/%E9%9D%91
寸,마디 촌:,https://namu.wiki/w/%E5%AF%B8
七,일곱 칠,https://namu.wiki/w/%E4%B8%83
土,흙 토,https://namu.wiki/w/%E5%9C%9F
八,여덟 팔,https://namu.wiki/w/%E5%85%AB
學,배울 학,https://namu.wiki/w/%E5%AD%B8
韓,한국/나라 한(:)[5],https://namu.wiki/w/%E9%9F%93
兄,형 형,https://namu.wiki/w/%E5%85%84
火,불 화(:)[6],https://namu.wiki/w/%E7%81%AB
家,집 가,https://namu.wiki/w/%E5%AE%B6
間,사이 간(:)[7],https://namu.wiki/w/%E9%96%93
江,강 강,https://namu.wiki/w/%E6%B1%9F
車,수레 거 | 수레 차,https://namu.wiki/w/%E8%BB%8A
工,장인 공,https://namu.wiki/w/%E5%B7%A5
空,빌 공,https://namu.wiki/w/%E7%A9%BA
氣,기운 기,https://namu.wiki/w/%E6%B0%A3
記,기록할 기,https://namu.wiki/w/%E8%A8%98
男,사내 남,https://namu.wiki/w/%E7%94%B7
內,안 내:,https://namu.wiki/w/%E5%85%A7
農,농사 농,https://namu.wiki/w/%E8%BE%B2
答,대답 답,https://namu.wiki/w/%E7%AD%94
道,길 도:,https://namu.wiki/w/%E9%81%93
動,움직일 동:,https://namu.wiki/w/%E5%8B%95
力,힘 력,https://namu.wiki/w/%E5%8A%9B
立,설 립,https://namu.wiki/w/%E7%AB%8B
每,매양 매(:)[8],https://namu.wiki/w/%E6%AF%8F
名,이름 명,https://namu.wiki/w/%E5%90%8D
物,물건 물,https://namu.wiki/w/%E7%89%A9
方,모 방,https://namu.wiki/w/%E6%96%B9
不,아닐 불,https://namu.wiki/w/%E4%B8%8D
事,일 사:,https://namu.wiki/w/%E4%BA%8B
上,윗 상:,https://namu.wiki/w/%E4%B8%8A
姓,성 성:,https://namu.wiki/w/%E5%A7%93
世,인간 세:,https://namu.wiki/w/%E4%B8%96
手,손 수(:)[9],https://namu.wiki/w/%E6%89%8B
時,때 시,https://namu.wiki/w/%E6%99%82
市,저자 시:,https://namu.wiki/w/%E5%B8%82
食,밥/먹을 식,https://namu.wiki/w/%E9%A3%9F
安,편안 안,https://namu.wiki/w/%E5%AE%89
午,낮 오:,https://namu.wiki/w/%E5%8D%88
右,오를/오른(쪽) 우:,https://namu.wiki/w/%E5%8F%B3
子,아들 자,https://namu.wiki/w/%E5%AD%90
自,스스로 자,https://namu.wiki/w/%E8%87%AA
場,마당 장,https://namu.wiki/w/%E5%A0%B4
電,번개 전:,https://namu.wiki/w/%E9%9B%BB
前,앞 전,https://namu.wiki/w/%E5%89%8D
全,온전 전,https://namu.wiki/w/%E5%85%A8
正,바를 정(:)[10],https://namu.wiki/w/%E6%AD%A3
足,발 족,https://namu.wiki/w/%E8%B6%B3
左,왼 좌:,https://namu.wiki/w/%E5%B7%A6
直,곧을 직,https://namu.wiki/w/%E7%9B%B4
平,평평할 평,https://namu.wiki/w/%E5%B9%B3
下,아래 하:,https://namu.wiki/w/%E4%B8%8B
漢,한수/한나라 한:,https://namu.wiki/w/%E6%BC%A2
海,바다 해:,https://namu.wiki/w/%E6%B5%B7
話,말씀 화,https://namu.wiki/w/%E8%A9%B1
活,살 활,https://namu.wiki/w/%E6%B4%BB
孝,효도 효:,https://namu.wiki/w/%E5%AD%9D
後,뒤 후:,https://namu.wiki/w/%E5%BE%8C
歌,노래 가,https://namu.wiki/w/%E6%AD%8C
口,입 구(:)[11],https://namu.wiki/w/%E5%8F%A3
旗,기 기,https://namu.wiki/w/%E6%97%97
同,한가지 동,https://namu.wiki/w/%E5%90%8C
洞,골 동: | 밝을 통:,https://namu.wiki/w/%E6%B4%9E
冬,겨울 동(:)[12],https://namu.wiki/w/%E5%86%AC
登,오를 등,https://namu.wiki/w/%E7%99%BB
來,올 래(:)[13][14],https://namu.wiki/w/%E4%BE%86
老,늙을 로:,https://namu.wiki/w/%E8%80%81
里,마을 리:,https://namu.wiki/w/%E9%87%8C
林,수풀 림,https://namu.wiki/w/%E6%9E%97
面,낯 면:,https://namu.wiki/w/%E9%9D%A2
命,목숨 명:,https://namu.wiki/w/%E5%91%BD
文,글월 문,https://namu.wiki/w/%E6%96%87
問,물을 문:,https://namu.wiki/w/%E5%95%8F
百,일백 백,https://namu.wiki/w/%E7%99%BE
夫,지아비 부,https://namu.wiki/w/%E5%A4%AB
算,셈 산:,https://namu.wiki/w/%E7%AE%97
色,빛 색,https://namu.wiki/w/%E8%89%B2
夕,저녁 석,https://namu.wiki/w/%E5%A4%95
少,적을 소:,https://namu.wiki/w/%E5%B0%91
所,바 소:,https://namu.wiki/w/%E6%89%80
數,셈 수:[15],https://namu.wiki/w/%E6%95%B8
植,심을 식,https://namu.wiki/w/%E6%A4%8D
心,마음 심,https://namu.wiki/w/%E5%BF%83
語,말씀 어:,https://namu.wiki/w/%E8%AA%9E
然,그럴 연,https://namu.wiki/w/%E7%84%B6
有,있을 유:,https://namu.wiki/w/%E6%9C%89
育,기를 육,https://namu.wiki/w/%E8%82%B2
邑,고을 읍,https://namu.wiki/w/%E9%82%91
入,들 입,https://namu.wiki/w/%E5%85%A5
字,글자 자,https://namu.wiki/w/%E5%AD%97
