hanja,kor,radical,total_num_of_strokes,level
宀,집 면,宀,3획,미배정
人,사람 인,人,2획,8급
行,"다닐 행, 항렬 항",行,6획,6급
日,날 일,日,4획,8급
欠,하품 흠,欠,4획,1급
力,힘 력,力,2획,준7급
口,입 구,口,3획,7급
木,나무 목,木,4획,8급
肉,고기 육,肉,6획,준4급
門,문 문,門,8획,8급
見,"볼 견, 뵈올 현",見,7획,준5급
角,뿔 각,角,7획,준6급
卩,병부 절,卩,2획,미배정
刀,칼 도,刀,2획,준3급
干,방패 간,干,3획,4급
心,마음 심,心,4획,7급
竹,대 죽,竹,6획,준4급
女,계집 녀,女,3획,8급
目,눈 목,目,5획,6급
水,물 수,水,4획,8급
攴,칠 복,攴,4획,미배정
皿,그릇 명,皿,5획,1급
金,"쇠 금, 성 김",金,8획,8급
甘,달 감,甘,5획,4급
田,밭 전,田,5획,준4급
弓,활 궁,弓,3획,준3급
广,집 엄,广,3획,미배정
糸,"실 사, 가는실 멱",糸,6획,특급
言,말씀 언,言,7획,6급
阜,언덕 부,阜,8획,2급
艸,풀 초,艸,6획,준특급
白,흰 백,白,5획,8급
足,발 족 / 족할 족,足,7획,준7급
手,손 수,手,4획,준7급
厶,사사 사,厶,2획,미배정
工,장인 공,工,3획,준7급
尸,주검 시,尸,3획,준특급
乙,둘째 천간 을,乙,1획,준3급
廴,길게걸을 인,廴,3획,미배정
牛,소 우,牛,4획,5급
土,흙 토,土,3획,8급
辵,쉬엄쉬엄갈 착,辵,7획,미배정
犬,개 견,犬,4획,4급
缶,장군 부,缶,6획,준특급
八,여덟 팔,八,2획,8급
彳,조금걸을 척,彳,3획,미배정
耒,가래 뢰[1],耒,6획,특급
立,설 립,立,5획,준7급
頁,머리 혈,頁,9획,준특급
石,돌 석,石,5획,6급
車,수레 거/차,車,7획,준7급
馬,말 마,馬,10획,5급
曰,가로 왈,曰,4획,3급
亠,돼지해머리 두,亠,2획,미배정
鳥,새 조,鳥,11획,준4급
戈,창 과,戈,4획,2급
子,아들 자,子,3획,준7급
癶,등질 발,癶,5획,미배정
大,큰 대,大,3획,8급
高,높을 고,高,10획,준6급
鼓,북 고,鼓,13획,준3급
禾,벼 화,禾,5획,3급
老,늙을 로,老,6획,7급
囗,"에워쌀 위, 나라 국",囗,3획,미배정
谷,골 곡,谷,7획,준3급
骨,뼈 골,骨,10획,4급
貝,조개 패,貝,7획,3급
穴,굴 혈,穴,5획,준3급
邑,고을 읍,邑,7획,7급
食,밥/먹을 식,食,9획,준7급
冖,덮을 멱,冖,2획,미배정
儿,어진사람 인,儿,2획,미배정
矢,화살 시,矢,5획,3급
玉,구슬 옥,玉,5획,준4급
