hanja,kor,radical,radical_name,stroke_count,level,rep_pron
寬,너그러울 관,宀,집 면,15,준3급,관
亡,망할 망,亠,돼지해머리 두,3,5급,망
非,아닐 비,非,아닐 비,8,준4급,비
米,쌀 미,米,쌀 미,6,6급,미
干,방패 간,干,방패 간,3,4급,간
講,욀 강,言,말씀 언,17,준4급,강
氷,얼음 빙,水,물 수,5,5급,빙
味,맛 미,口,입 구,8,준4급,미
奇,기특할 기,大,큰 대,8,4급,기
童,아이 동,立,설 립,12,준6급,동
李,오얏/성 리,木,나무 목,7,6급,리
陸,뭍 륙,阜,언덕 부,11,준5급,륙
啓,열 계,口,입 구,11,준3급,계
福,복 복,示,보일 시,14,준5급,복
權,권세 권,木,나무 목,21,준4급,권
廣,넓을 광,广,집 엄,15,준5급,광
乾,하늘/마를 건,乙,둘째 천간 을,11,준3급,건
冥,어두울 명,冖,덮을 멱,10,3급,명
決,결단할 결,水,물 수,7,준5급,결
比,견줄 비,比,견줄 비,4,5급,비
開,열 개,門,문 문,12,6급,개
屈,굽힐 굴,尸,주검 시,8,4급,굴
禁,금할 금,示,보일 시,13,준4급,금
返,돌이킬 반,辵,쉬엄쉬엄갈 착,8,3급,반
遣,보낼 견,辵,쉬엄쉬엄갈 착,14,3급,견
君,임금 군,口,입 구,7,4급,군
雷,우레 뢰,雨,비 우,13,준3급,뢰
鹿,사슴 록,鹿,사슴 록,11,3급,록
關,관계할 관,門,문 문,19,준5급,관
工,장인 공,工,장인 공,3,준7급,공
恭,공손할 공,心,마음 심,10,준3급,공
復,회복할 복|다시 부,彳,조금걸을 척,12,준4급,복
博,넓을 박,十,열 십,12,준4급,박
鈍,둔할 둔,金,쇠 금|성 김,12,3급,둔
到,이를 도,刀,칼 도,8,준5급,도
睦,화목할 목,目,눈 목,13,준3급,목
更,고칠 경|다시 갱,曰,가로 왈,7,4급,경
輩,무리 배,車,수레 거/차,15,준3급,배
梨,배 리,木,나무 목,11,3급,리
六,여섯 륙,八,여덟 팔,4,8급,륙
慕,그릴 모,心,마음 심,15,준3급,모
庚,별 경,广,집 엄,8,3급,경
逢,만날 봉,辵,쉬엄쉬엄갈 착,11,준3급,봉
部,떼 부,邑,고을 읍,11,준6급,부
奉,받들 봉,大,큰 대,8,준5급,봉
救,구원할 구,攴,칠 복,11,5급,구
賓,손 빈,貝,조개 패,14,3급,빈
記,기록할 기,言,말씀 언,10,준7급,기
貢,바칠 공,貝,조개 패,10,준3급,공
渴,목마를 갈,水,물 수,12,3급,갈
慨,슬퍼할 개,心,마음 심,14,3급,개
驚,놀랄 경,馬,말 마,23,4급,경
裂,찢어질 렬,衣,옷 의,12,준3급,렬
論,논할 론,言,말씀 언,15,준4급,론
建,세울 건,廴,길게걸을 인,9,5급,건
欄,난간 란,木,나무 목,21,준3급,란
拔,뽑을 발,手,손 수,8,준3급,발
擊,칠 격,手,손 수,17,4급,격
分,나눌 분,刀,칼 도,4,준6급,분
面,낯 면,面,낯 면,9,7급,면
簿,문서 부,竹,대 죽,19,준3급,부
能,능할 능,肉,고기 육,10,준5급,능
等,무리 등,竹,대 죽,12,준6급,등
架,시렁 가,木,나무 목,9,준3급,가
悲,슬플 비,心,마음 심,12,준4급,비
憤,분할 분,心,마음 심,15,4급,분
房,방 방,戶,집 호,8,준4급,방
馬,말 마,馬,말 마,10,5급,마
名,이름 명,口,입 구,6,준7급,명
浪,물결 랑,水,물 수,10,준3급,랑
斷,끊을 단,斤,근/날 근,18,준4급,단
帶,띠 대,巾,수건 건,11,준4급,대
姑,시어미 고,女,계집 녀,8,준3급,고
堅,굳을 견,土,흙 토,11,4급,견
罰,벌할 벌,网,그물 망,14,준4급,벌
弓,활 궁,弓,활 궁,3,준3급,궁
刀,칼 도,刀,칼 도,2,준3급,도
媒,중매 매,女,계집 녀,12,준3급,매
機,틀 기,木,나무 목,16,4급,기
峯,봉우리 봉,山,메 산,10,준3급,봉
隆,높을 륭,阜,언덕 부,12,준3급,륭
鑛,쇳돌 광,金,쇠 금|성 김,23,4급,광
凍,얼 동,冫,얼음 빙,10,준3급,동
過,지날 과,辵,쉬엄쉬엄갈 착,13,준5급,과
格,격식 격,木,나무 목,10,준5급,격
覽,볼 람,見,볼 견|뵈올 현,21,4급,람
街,거리 가,行,다닐 행|항렬 항,12,준4급,가
反,돌이킬/돌아올 반,又,또 우,4,준6급,반
憫,민망할 민,心,마음 심,15,3급,민
券,문서 권,刀,칼 도,8,4급,권
及,미칠 급,又,또 우,4,준3급,급
鬼,귀신 귀,鬼,귀신 귀,10,준3급,귀
領,거느릴 령,頁,머리 혈,14,5급,령
糖,엿 당,米,쌀 미,16,준3급,당
旦,아침 단,日,날 일,5,준3급,단
歌,노래 가,欠,하품 흠,14,7급,가
拜,절 배,手,손 수,9,준4급,배
鋼,강철 강,金,쇠 금|성 김,16,준3급,강
奈,어찌 내,大,큰 대,8,3급,내
冷,찰 랭,冫,얼음 빙,7,5급,랭
