level,hanja,mean,pron,hms
4ii,斗,말,두,말 두
7__,算,셈,산,셈 산
3__,暮,저물,모,저물 모
3ii,詳,자세할,상,자세할 상
3ii,默,잠잠할,묵,잠잠할 묵
3ii,斜,비낄,사,비낄 사
3__,敍,펼,서,펼 서
3ii,曆,책력,력,책력 력
3ii,郞,사내,랑,사내 랑
4ii,復,회복할,복,회복할 복|다시 부
5__,救,구원할,구,구원할 구
4__,私,사사,사,사사 사
4__,伏,엎드릴,복,엎드릴 복
7ii,右,오를/오른(쪽),우,오를/오른(쪽) 우
4ii,暖,따뜻할,난,따뜻할 난
3__,龜,거북,구,거북 구|거북 귀|터질 균
5ii,能,능할,능,능할 능
5ii,格,격식,격,격식 격
3__,朔,초하루,삭,초하루 삭
4__,逃,도망할,도,도망할 도
4ii,個,낱,개,낱 개
6ii,圖,그림,도,그림 도
3__,掠,노략질할,략,노략질할 략
5ii,具,갖출,구,갖출 구
4__,郵,우편,우,우편 우
3ii,樓,다락,루,다락 루
4ii,貧,가난할,빈,가난할 빈
3__,謹,삼갈,근,삼갈 근
5ii,流,흐를,류,흐를 류
4ii,房,방,방,방 방
7__,旗,기,기,기 기
3ii,盤,소반,반,소반 반
3ii,肥,살찔,비,살찔 비
6__,服,옷,복,옷 복
4ii,副,버금,부,버금 부
3__,唯,오직,유,오직 유
4__,君,임금,군,임금 군
3__,朋,벗,붕,벗 붕
8__,校,학교,교,학교 교
6__,使,하여금/부릴,사,하여금/부릴 사
3__,飢,주릴,기,주릴 기
5__,亡,망할,망,망할 망
5__,原,언덕,원,언덕 원
3ii,像,모양,상,모양 상
4ii,錄,기록할,록,기록할 록
3__,緯,씨,위,씨 위
3__,敦,도타울,돈,도타울 돈
3ii,茶,차,다,차 다|차 차
4ii,往,갈,왕,갈 왕
6__,強,강할,강,강할 강
7ii,上,윗,상,윗 상
6__,園,동산,원,동산 원
4__,委,맡길,위,맡길 위
4__,鑛,쇳돌,광,쇳돌 광
3ii,謀,꾀,모,꾀 모
3ii,硬,굳을,경,굳을 경
3__,忘,잊을,망,잊을 망
4__,舞,춤출,무,춤출 무
4__,圍,에워쌀,위,에워쌀 위
3__,慢,거만할,만,거만할 만
3ii,付,부칠,부,부칠 부
8__,南,남녘,남,남녘 남
3__,巳,뱀,사,뱀 사
3ii,靈,신령,령,신령 령
3__,畓,논,답,논 답
3ii,祈,빌,기,빌 기
4ii,報,갚을/알릴,보,갚을/알릴 보
5__,序,차례,서,차례 서
4__,鉛,납,연,납 연
7__,林,수풀,림,수풀 림
5ii,價,값,가,값 가
3ii,欄,난간,란,난간 란
5__,鼻,코,비,코 비
3ii,丘,언덕,구,언덕 구
5__,擧,들,거,들 거
3ii,腐,썩을,부,썩을 부
4__,射,쏠,사,쏠 사
3__,煩,번거로울,번,번거로울 번
8__,月,달,월,달 월
4ii,導,인도할,도,인도할 도
3ii,寡,적을,과,적을 과
4__,怨,원망할,원,원망할 원
4__,干,방패,간,방패 간
4__,段,층계,단,층계 단
3ii,爐,화로,로,화로 로
3__,埋,묻을,매,묻을 매
4__,緣,인연,연,인연 연
3ii,寧,편안,녕,편안 녕
3ii,越,넘을,월,넘을 월
3ii,恕,용서할,서,용서할 서
4__,鏡,거울,경,거울 경
5__,無,없을,무,없을 무
3ii,其,그,기,그 기
3__,塊,흙덩이,괴,흙덩이 괴
3__,蜂,벌,봉,벌 봉
3ii,倒,넘어질,도,넘어질 도
3ii,軟,연할,연,연할 연
4ii,非,아닐,비,아닐 비
4ii,康,편안,강,편안 강
4ii,員,인원,원,인원 원
