level,hanja,mean,pron,hms
3급,絹,,,비단 견
8급,北,,,북녘 북|달아날 배
준4급,經,,,지날/글 경
3급,稻,,,벼 도
준3급,裂,,,찢어질 렬
3급,廟,,,사당 묘
6급,別,,,다를/나눌 별
준3급,貫,,,꿸 관
준3급,淡,,,맑을 담
준5급,課,,,공부할/과정 과
4급,據,,,근거 거
준3급,陵,,,언덕 릉
준4급,潔,,,깨끗할 결
준7급,工,,,장인 공
준3급,錦,,,비단 금
3급,竟,,,마침내 경
6급,區,,,구분할/지경 구
준3급,隆,,,높을 륭
준3급,菌,,,버섯 균
3급,掛,,,걸 괘
준3급,桃,,,복숭아 도
4급,孔,,,구멍 공
5급,期,,,기약할 기
4급,盜,,,도둑 도
준5급,練,,,익힐 련
준3급,恐,,,두려울 공
3급,迷,,,미혹할 미
5급,汽,,,물끓는김 기
준3급,拔,,,뽑을 발
준3급,頃,,,이랑/잠깐 경
3급,濫,,,넘칠 람
4급,驚,,,놀랄 경
4급,窮,,,다할/궁할 궁
3급,狗,,,개 구
준3급,迫,,,핍박할 박
준3급,供,,,이바지할 공
4급,略,,,간략할/약할 략
3급,泊,,,머무를/배댈 박
4급,繼,,,이을 계
4급,均,,,고를 균
준3급,溪,,,시내 계
4급,納,,,들일 납
준5급,到,,,이를 도
