hanja,kor,radical,radical_name,stroke_count,level,rep_pron
士,선비 사,士,선비 사,3,준5급,사
巳,뱀 사,己,몸 기,3,3급,사
四,넉 사,囗,에워쌀 위|나라 국,5,8급,사
史,사기 사,口,입 구,5,준5급,사
仕,섬길 사,人,사람 인,5,준5급,사
司,맡을 사,口,입 구,5,준3급,사
死,죽을 사,歹,뼈앙상할 알|나쁠 대,6,6급,사
寺,절 사,寸,마디 촌,6,준4급,사
似,닮을 사,人,사람 인,7,3급,사
邪,간사할 사,邑,고을 읍,7,준3급,사
沙,모래 사,水,물 수,7,준3급,사
私,사사 사,禾,벼 화,7,4급,사
事,일 사,亅,갈고리 궐,8,준7급,사
社,모일 사,示,보일 시,8,준6급,사
使,하여금/부릴 사,人,사람 인,8,6급,사
祀,제사 사,示,보일 시,8,준3급,사
舍,집 사,舌,혀 설,8,준4급,사
思,생각 사,心,마음 심,9,5급,사
査,조사할 사,木,나무 목,9,5급,사
射,쏠 사,寸,마디 촌,10,4급,사
師,스승 사,巾,수건 건,10,준4급,사
捨,버릴 사,手,손 수,11,3급,사
蛇,긴뱀 사,虫,벌레 훼,11,준3급,사
斜,비낄 사,斗,말 두,11,준3급,사
斯,이 사,斤,근/날 근,12,3급,사
詐,속일 사,言,말씀 언,12,3급,사
詞,말/글 사,言,말씀 언,12,준3급,사
絲,실 사,糸,실 사|가는실 멱,12,4급,사
寫,베낄 사,宀,집 면,15,5급,사
賜,줄 사,貝,조개 패,15,3급,사
謝,사례할 사,言,말씀 언,17,준4급,사
辭,말씀 사,辛,매울 신,19,4급,사
削,깎을 삭,刀,칼 도,9,준3급,삭
朔,초하루 삭,月,달 월,10,3급,삭
山,메 산,山,메 산,3,8급,산
産,낳을 산,生,날 생,11,준5급,산
散,흩을 산,攴,칠 복,12,4급,산
算,셈 산,竹,대 죽,14,7급,산
殺,죽일 살|감할/빠를 쇄,殳,창 수,11,준4급,살
三,석 삼,一,한 일,3,8급,삼
森,수풀 삼,木,나무 목,12,준3급,삼
上,윗 상,一,한 일,3,준7급,상
床,상 상,广,집 엄,7,준4급,상
尙,오히려 상,小,작을 소,8,준3급,상
狀,형상 상|문서 장,犬,개 견,8,준4급,상
相,서로 상,目,눈 목,9,준5급,상
桑,뽕나무 상,木,나무 목,10,준3급,상
商,장사 상,口,입 구,11,준5급,상
祥,상서 상,示,보일 시,11,3급,상
常,떳떳할 상,巾,수건 건,11,준4급,상
喪,잃을 상,口,입 구,12,준3급,상
象,코끼리 상,豕,돼지 시,12,4급,상
詳,자세할 상,言,말씀 언,13,준3급,상
傷,다칠 상,人,사람 인,13,4급,상
想,생각 상,心,마음 심,13,준4급,상
嘗,맛볼 상,口,입 구,14,3급,상
裳,치마 상,衣,옷 의,14,준3급,상
像,모양 상,人,사람 인,14,준3급,상
賞,상줄 상,貝,조개 패,15,5급,상
霜,서리 상,雨,비 우,17,준3급,상
償,갚을 상,人,사람 인,17,준3급,상
色,빛 색,色,빛 색,6,7급,색
索,찾을 색|노 삭,糸,실 사|가는실 멱,10,준3급,색
塞,막힐 색|변방 새,土,흙 토,13,준3급,색
生,날 생,生,날 생,5,8급,생
西,서녘 서,襾,덮을 아,6,8급,서
序,차례 서,广,집 엄,7,5급,서
書,글 서,曰,가로 왈,10,준6급,서
恕,용서할 서,心,마음 심,10,준3급,서
徐,천천할 서,彳,조금걸을 척,10,준3급,서
敍,펼 서,攴,칠 복,11,3급,서
逝,갈 서,辵,쉬엄쉬엄갈 착,11,3급,서
庶,여러 서,广,집 엄,11,3급,서
暑,더울 서,日,날 일,13,3급,서
誓,맹세할 서,言,말씀 언,14,3급,서
署,마을 서,网,그물 망,14,준3급,서
緖,실마리 서,糸,실 사|가는실 멱,15,준3급,서
夕,저녁 석,夕,저녁 석,3,7급,석
石,돌 석,石,돌 석,5,6급,석
昔,예 석,日,날 일,8,3급,석
析,쪼갤 석,木,나무 목,8,3급,석
席,자리 석,巾,수건 건,10,6급,석
惜,아낄 석,心,마음 심,11,준3급,석
釋,풀 석,釆,나눌 변,20,준3급,석
仙,신선 선,人,사람 인,5,준5급,선
先,먼저 선,儿,어진사람 인,6,8급,선
宣,베풀 선,宀,집 면,9,4급,선
船,배 선,舟,배 주,11,5급,선
旋,돌 선,方,모 방,11,준3급,선
善,착할 선,口,입 구,12,5급,선
單,홑 단,口,입 구,12,준4급,선
線,줄 선,糸,실 사|가는실 멱,15,준6급,선
選,가릴 선,辵,쉬엄쉬엄갈 착,16,5급,선
鮮,고울 선,魚,고기/물고기 어,17,준5급,선
禪,선 선,示,보일 시,17,준3급,선
舌,혀 설,舌,혀 설,6,4급,설
雪,눈 설,雨,비 우,11,준6급,설
設,베풀 설,言,말씀 언,11,준4급,설
說,말씀 설|달랠 세,言,말씀 언,14,준5급,설
涉,건널 섭,水,물 수,10,3급,섭
攝,다스릴/잡을 섭,手,손 수,21,3급,섭
成,이룰 성,戈,창 과,7,준6급,성
姓,성 성,女,계집 녀,8,준7급,성
性,성품 성,心,마음 심,8,준5급,성
省,살필 성|덜 생,目,눈 목,9,준6급,성
星,별 성,日,날 일,9,준4급,성
城,재 성,土,흙 토,10,준4급,성
盛,성할 성,皿,그릇 명,12,준4급,성
聖,성인 성,耳,귀 이,13,준4급,성
誠,정성 성,言,말씀 언,14,준4급,성
