8,校,학교 교:
8,敎,가르칠 교:
8,九,아홉 구
8,國,나라 국
8,軍,군사 군
8,金,쇠 금 | 성 김
8,南,남녘 남
8,女,계집 녀
8,年,해 년
8,大,큰 대(:)
8,東,동녘 동
8,六,여섯 륙
8,萬,일만 만:
8,母,어미 모:
8,木,나무 목
8,門,문 문
8,民,백성 민
8,白,흰 백
8,父,아비 부
8,北,북녘 북 | 달아날 배:
8,四,넉 사:
8,山,메 산
8,三,석 삼
8,生,날 생
8,西,서녘 서
8,先,먼저 선
8,小,작을 소:
8,水,물 수
8,室,집 실
8,十,열 십
8,五,다섯 오:
8,王,임금 왕
8,外,바깥 외:
8,月,달 월
8,二,두 이:
8,人,사람 인
8,一,한 일
8,日,날 일
8,長,긴 장(:)
8,弟,아우 제:
8,中,가운데 중
8,靑,푸를 청
8,寸,마디 촌:
8,七,일곱 칠
8,土,흙 토
8,八,여덟 팔
8,學,배울 학
8,韓,한국/나라 한(:)
8,兄,형 형
8,火,불 화(:)
7ii,家,집 가
7ii,間,사이 간(:)
7ii,江,강 강
7ii,車,수레 거 | 수레 차
7ii,工,장인 공
7ii,空,빌 공
7ii,氣,기운 기
7ii,記,기록할 기
7ii,男,사내 남
7ii,內,안 내:
7ii,農,농사 농
7ii,答,대답 답
7ii,道,길 도:
7ii,動,움직일 동:
7ii,力,힘 력
7ii,立,설 립
7ii,每,매양 매(:)
7ii,名,이름 명
7ii,物,물건 물
7ii,方,모 방
7ii,不,아닐 불
7ii,事,일 사:
7ii,上,윗 상:
7ii,姓,성 성:
7ii,世,인간 세:
7ii,手,손 수(:)
7ii,時,때 시
7ii,市,저자 시:
7ii,食,밥/먹을 식
7ii,安,편안 안
7ii,午,낮 오:
7ii,右,오를/오른(쪽) 우:
7ii,子,아들 자
7ii,自,스스로 자
7ii,場,마당 장
7ii,電,번개 전:
7ii,前,앞 전
7ii,全,온전 전
7ii,正,바를 정(:)
7ii,足,발 족
7ii,左,왼 좌:
7ii,直,곧을 직
7ii,平,평평할 평
7ii,下,아래 하:
7ii,漢,한수/한나라 한:
7ii,海,바다 해:
7ii,話,말씀 화
7ii,活,살 활
7ii,孝,효도 효:
7ii,後,뒤 후:
7,歌,노래 가
7,口,입 구(:)
7,旗,기 기
7,同,한가지 동
7,洞,골 동: | 밝을 통:
7,冬,겨울 동(:)
7,登,오를 등
7,來,올 래(:)
7,老,늙을 로:
7,里,마을 리:
7,林,수풀 림
7,面,낯 면:
7,命,목숨 명:
7,文,글월 문
7,問,물을 문:
7,百,일백 백
7,夫,지아비 부
7,算,셈 산:
7,色,빛 색
7,夕,저녁 석
7,少,적을 소:
7,所,바 소:
7,數,셈 수:
7,植,심을 식
7,心,마음 심
7,語,말씀 어:
7,然,그럴 연
7,有,있을 유:
7,育,기를 육
7,邑,고을 읍
7,入,들 입
7,字,글자 자
7,祖,할아비 조
7,住,살 주:
7,主,임금/주인 주
7,重,무거울 중:
7,紙,종이 지
7,地,땅 지
7,千,일천 천
7,天,하늘 천
7,川,내 천
7,草,풀 초
7,村,마을 촌:
7,秋,가을 추
7,春,봄 춘
7,出,날 출
7,便,편할 편(:) | 똥오줌 변
7,夏,여름 하:
7,花,꽃 화
7,休,쉴 휴
6ii,各,각각 각
6ii,角,뿔 각
6ii,界,지경 계:
6ii,計,셀 계:
6ii,高,높을 고
6ii,公,공평할 공
6ii,共,한가지 공:
6ii,功,공 공
6ii,果,실과 과:
6ii,科,과목 과
6ii,光,빛 광
6ii,球,공 구
6ii,今,이제 금
6ii,急,급할 급
6ii,短,짧을 단(:)
6ii,堂,집 당
6ii,代,대신할 대:
6ii,對,대할 대:
6ii,圖,그림 도
6ii,讀,읽을 독 | 구절 두
6ii,童,아이 동(:)
6ii,等,무리 등:
6ii,樂,즐길 락 | 노래 악 | 좋아할 요
6ii,利,이할 리:
6ii,理,다스릴 리:
6ii,明,밝을 명
6ii,聞,들을 문(:)
6ii,半,반 반:
6ii,反,돌이킬/돌아올 반:
6ii,班,나눌 반
6ii,發,필 발
6ii,放,놓을 방(:)
6ii,部,떼 부
6ii,分,나눌 분(:)
6ii,社,모일 사
6ii,書,글 서
6ii,線,줄 선
6ii,雪,눈 설
6ii,成,이룰 성
6ii,省,살필 성 | 덜 생
