假  거짓 가:
街  거리 가(:)[1]
減  덜 감:
監  볼 감
講  욀 강:
康  편안 강
個  낱 개(:)[2]
檢  검사할 검:
潔  깨끗할 결
缺  이지러질 결
境  지경 경
經  지날/글 경
警  깨우칠 경:
慶  경사 경:
係  맬 계:
故  연고 고(:)[3]
官  벼슬 관
求  구할 구
句  글귀 구
究  연구할 구
宮  집 궁
權  권세 권
極  다할/극진할 극
禁  금할 금:
器  그릇 기
起  일어날 기
暖  따뜻할 난:
難  어려울 난(:)[4]
怒  성낼 노:
努  힘쓸 노
斷  끊을 단:
單  홑 단
檀  박달나무 단
端  끝 단
達  통달할 달
擔  멜 담
黨  무리 당
帶  띠 대(:)[5]
隊  무리 대
導  인도할 도
毒  독 독
督  감독할 독
銅  구리 동
斗  말 두
豆  콩 두
得  얻을 득
燈  등 등
羅  벌릴 라
兩  두 량:
麗  고울 려
連  이을 련
列  벌릴 렬
錄  기록할 록
論  논할 론
留  머무를 류
律  법칙 률
滿  찰 만(:)[6]
脈  줄기 맥
毛  터럭 모
牧  칠 목
務  힘쓸 무:
武  호반 무
未  아닐 미(:)[7]
味  맛 미:
密  빽빽할 밀
博  넓을 박
防  막을 방
房  방 방
訪  찾을 방:
拜  절 배:
背  등 배:
配  나눌/짝 배:
罰  벌할 벌
伐  칠 벌
壁  벽 벽
邊  가 변
保  지킬 보(:)[8]
步  걸음 보:
報  갚을/알릴 보(:)[9]
寶  보배 보:
復  회복할 복 | 다시 부:[10]
府  마을 부(:)[11]
富  부자 부:
副  버금 부:
婦  며느리 부
佛  부처 불
飛  날 비
備  갖출 비:
非  아닐 비(:)
悲  슬플 비:
貧  가난할 빈
寺  절 사[12]
師  스승 사
謝  사례할 사:
舍  집 사
殺  죽일 살 | 감할/빠를 쇄:[13]
常  떳떳할 상
床  상 상
想  생각 상:
狀  형상 상 | 문서 장:[14]
設  베풀 설
誠  정성 성
聲  소리 성
盛  성할 성:
聖  성인 성:
城  재 성
星  별 성
勢  형세 세:
稅  세금 세:
細  가늘 세:
笑  웃음 소:
掃  쓸 소(:)[15]
素  본디/흴 소(:)[16]
續  이을 속
俗  풍속 속
送  보낼 송:
修  닦을 수
受  받을 수(:)[17]
守  지킬 수
授  줄 수
收  거둘 수
純  순수할  순
承  이을 승
詩  시 시
試  시험 시(:)[18]
視  볼 시:
施  베풀 시:
是  이/옳을 시:
息  쉴 식
申  납 신
深  깊을 심
眼  눈 안:
暗  어두울 암:
壓  누를 압
液  진 액
羊  양 양
餘  남을 여
如  같을 여
逆  거스릴 역
煙  연기 연
硏  갈 연:
演  펼 연:
榮  영화 영
藝  재주 예:
誤  그르칠 오:
玉  구슬 옥
往  갈 왕:
謠  노래 요
容  얼굴 용
圓  둥글 원
員  인원 원
衛  지킬 위
爲  하/할 위(:)[19]
肉  고기 육
恩  은혜 은
陰  그늘 음
應  응할 응:
議  의논할 의(:)[20]
義  옳을 의:
移  옮길 이
益  더할 익
印  도장 인
引  끌 인
認  알 인
將  장수 장(:)[21]
障  막을 장
低  낮을 저:
敵  대적할 적
田  밭 전
絶  끊을 절
接  이을 접
政  정사 정
程  한도/길 정
精  정할 정
濟  건널 제:
提  끌 제
制  절제할 제:
製  지을 제:
除  덜 제
際  즈음/가 제:
祭  제사 제:
鳥  새 조
助  도울 조:
早  이를 조:
造  지을 조:
尊  높을 존
宗  마루 종
走  달릴 주
竹  대 죽
準  준할 준:
衆  무리 중:
增  더할 증
志  뜻 지
指  가리킬 지
支  지탱할 지
至  이를 지
職  직분 직
進  나아갈 진:
眞  참 진
次  버금 차
察  살필 찰
創  비롯할 창:
處  곳 처:
請  청할 청
總  다 총:
銃  총 총
築  쌓을 축
蓄  모을 축
忠  충성 충
蟲  벌레 충
取  가질 취:
測  헤아릴 측
治  다스릴 치
置  둘 치:
齒  이 치
侵  침노할 침
快  쾌할 쾌
態  모습 태:
統  거느릴 통:
退  물러날 퇴:
波  물결 파
破  깨뜨릴 파:
砲  대포 포:
包  쌀 포(:)[22]
布  베/펼 포(:) | 보시 보:[23]
暴  사나울 폭 | 모질 포:[24]
票  표 표
豊  풍년 풍
限  한할 한:
航  배 항:
港  항구 항:
解  풀 해:
鄕  시골 향
香  향기 향
虛  빌 허
驗  시험 험:
賢  어질 현
血  피 혈
協  화할 협
惠  은혜 혜:
好  좋을 호:
戶  집 호:
護  도울 호:
呼  부를 호
貨  재물 화:
確  굳을 확
回  돌아올 회
吸  마실 흡
興  일 흥(:)[25]
希  바랄 희
