孰,敦
帝,宰
粧,飾
辛,幸
係,緊,繫
廢,幣
獸,獻
持,待
壞,壤
獸,獻
舍,拾,捨
與,輿
俊,傑
追,隨
衆,隊
其,斯,欺,旗
比,北,此
搜,尋
旣,慨
予,汝,余
丸,還,環
尋,壽
獸,獻
條,換
首,順,循,須
徒,衆,隊
獄,獸,獻
荒,疏
租,稅,賦
可,何,阿
慣,寬
壞,壤
係,緊,繫
司,詞,辭
追,逐,遂,隨
荒,疏
庚
何,阿
書,晝
粧,裝
壯,狀,莊,粧,獎
哲,徹
拾,捨
博,薄
徒,衆,隊
煙,燈,燃,爐
搜,尋,審
衰,裳
宜,宣
昇
揚,賜
予,汝,余
係,緊,繫
與,輿
値,價
旣,慨,歎
城,域
遂,隨
蓋,弊,蔽
付,附
室,屋
莫,漠
卑,婢
包,句
勝,登,騰
刊,刑
處,遞
漸,暫,潛
西,酉
切,初
博,薄,簿
斥,折
浮,淨
徐,除
判,叛
公,共
妾,妻
表,素
書,晝
史,吏,更,便
辯,戀
貫,貴,遣,遺
溪,潔
系,係,繫
城,域
跡,蹟
朴,杯
墻,壇
竟,經,境
陵,隆
延,廷
映,照,影
付,附
逮,遞
混,濕
式,試
訟,頌
成,盛
邪,阿
囚,因
的,約
早,旱
見,現,顯
宜,宣
奪,奮
豊,農,禮
腸,賜
倍,培
勤,勸
虎,處,虛
見,現,縣,顯
那,邦,耶
混,濕
己,已,旣
吐,討
縣,懸
煙,燈
俊,換
州,洲
典,展
盟
此,批
租,稅,賦
追,遂
弊,蔽
刑,形
淚,漏
版,板
丙,再
秒,秋
丈,尤
見,現,顯
部,都
治,致
累,屢
比,此
皇,星
拾,捨,賜
祈,斯
幣,弊
順,循,須
莫,漠
罔,莫
毛,尾
追,遣,遺
薄,簿
尙,常
般,船
虎,處,虛
跡,蹟
曾,會
舍,拾,捨
豪,蒙
題,願
屢,樓
辨,辯
丙,再,兩
博,薄,簿
豊,農
映,照,影
徑,經,輕
丹,朱,赤,紅
侯,候
施,宣,旋
柱,株
克,竟
倣,模
塊,壞,壤
恭,添
施,旅,族
替,遞
虎,遞
獲,穫,護
械,機
孰,敦
弟,第
登,騰
擇,譯
稿,矯
除,徐
吹,飮
條,操
其,欺,旗
祀,祝
柱,株
倣,傍
蒸,燕
麻,硏
例,禮
慣,寬
切,初
丹,舟
廷,庭
吏,使
示,視
擊,擧
毫,豪
快,訣,潔
低,底
票,標
努,勞
惠,慧
歷,曆
邦,那,耶
堅,壁
虎,處,虛,劇
副,幅
踏,履
曾,會
據,擔
李,梨
紅,鴻
庚,景
毫,豪,蒙
曾,會,層
煙,燈,燃,爐
寂,宿
拳,擊,擧
臺,墻,壇
麻,硏,磨
肺,胸
定,精
決,快
至,致
客,閣
哀,衰,喪,裳
役,投
或,咸
遷,薦
決,潔
後,復
漸,暫,潛
弊,蔽
完,院
拘,執
純,順
玄,玆
參,慘,慙
連,蓮,聯
陷,毁
肩,眉
貌,懇
細,略
統,疏
玄,亥,玆
池,澤
幣,弊
追,逐,遵
爭,浮
富,當
功,攻
丙,再,兩,南
途,道
帥,師
則,側,測
微,徵
暫,慙,潛
兮,矣,奈,奚,焉
俗,裕
條,操,燥
連,繼
系,係,繫
更,硬
克,極,劇
漸,潛
弟,第
卿,鄕
見,賢
岳,岸
浮,淨,靜
反,返,叛
悔,敏,憫
居,距
墻,壇
宣,旋
億,憶
元,完,院
求,救
效,敎
踐,履
付,附
斥,折
藏,臟
決,訣
廢,幣,弊,蔽
